ts_code,trade_date,open,high,low,close,pre_close,change,pct_change,vol,amount
000001.SZ,20090925,20.0,20.28,19.68,20.15,20.32,-0.17,-0.84,211870.26,423648.2537
000002.SZ,20090925,10.7,10.9,10.5,10.64,10.86,-0.22,-2.03,1007349.97,1073528.806
000004.SZ,20090925,8.15,8.3,7.92,7.93,8.12,-0.19,-2.34,14098.3,11458.8684
000005.SZ,20090925,4.39,4.4,4.25,4.28,4.42,-0.14,-3.17,135590.11,58548.7595
000006.SZ,20090925,10.19,10.23,9.96,10.04,10.21,-0.17,-1.67,62986.34,63533.9667
000007.SZ,20090925,7.0,7.0,6.64,6.64,6.84,-0.2,-2.92,25590.15,17361.6382
000008.SZ,20090925,8.28,8.36,8.06,8.28,8.32,-0.04,-0.48,5611.54,4624.9167
000009.SZ,20090925,10.3,10.38,10.06,10.2,10.35,-0.15,-1.45,142449.29,145561.8676
000010.SZ,20090925,8.91,9.37,8.85,8.96,8.98,-0.02,-0.22,24048.12,22015.5233
000011.SZ,20090925,12.1,12.1,12.1,12.1,11.52,0.58,5.03,4246.68,5138.4828
000012.SZ,20090925,14.99,15.2,14.67,14.88,15.0,-0.12,-0.8,75198.25,111996.592
000014.SZ,20090925,14.3,14.35,14.01,14.03,14.28,-0.25,-1.75,7140.36,10144.7384
000016.SZ,20090925,4.51,4.63,4.49,4.52,4.5,0.02,0.44,70303.06,32027.6233
000018.SZ,20090925,7.62,7.95,7.45,7.92,7.65,0.27,3.53,8193.99,6331.0439
000019.SZ,20090925,7.48,7.53,7.28,7.3,7.52,-0.22,-2.93,17648.56,13035.4304
000020.SZ,20090925,6.72,6.84,6.5,6.78,6.72,0.06,0.89,24493.9,16319.9185
000021.SZ,20090925,11.25,11.46,11.15,11.21,11.24,-0.03,-0.27,39598.62,44766.6731
000022.SZ,20090925,12.78,12.94,12.7,12.78,12.83,-0.05,-0.39,13361.77,17139.011
000023.SZ,20090925,7.66,7.9,7.56,7.58,7.66,-0.08,-1.04,10918.56,8444.0863
000024.SZ,20090925,24.2,24.65,23.9,24.39,24.49,-0.1,-0.41,98292.09,238825.4326
000025.SZ,20090925,8.0,8.19,7.89,8.02,8.06,-0.04,-0.5,7592.37,6109.697
000026.SZ,20090925,8.32,8.38,8.01,8.19,8.31,-0.12,-1.44,19330.62,15778.3994
000027.SZ,20090925,11.43,11.53,11.23,11.3,11.37,-0.07,-0.62,70132.6,79744.0829
000028.SZ,20090925,23.28,23.39,22.81,23.09,23.48,-0.39,-1.66,4749.28,10960.4551
000029.SZ,20090925,5.05,5.08,4.93,4.99,5.06,-0.07,-1.38,25283.32,12645.6969
000030.SZ,20090925,6.41,6.75,6.35,6.56,6.44,0.12,1.86,17674.35,11660.0316
000031.SZ,20090925,11.91,12.29,11.62,11.76,12.08,-0.32,-2.65,217476.95,259134.4353
000032.SZ,20090925,7.09,7.21,7.02,7.12,7.11,0.01,0.14,26475.96,18891.2841
000033.SZ,20090925,5.42,5.58,5.3,5.49,5.48,0.01,0.18,54990.72,29929.5414
000034.SZ,20090925,7.83,8.0,7.7,7.74,7.82,-0.08,-1.02,32999.6,25808.4982
000035.SZ,20090925,5.23,5.28,5.15,5.18,5.23,-0.05,-0.96,16073.5,8362.1824
000036.SZ,20090925,4.97,4.99,4.85,4.92,4.95,-0.03,-0.61,79786.98,39380.8996
000037.SZ,20090925,5.42,5.46,5.36,5.39,5.43,-0.04,-0.74,17513.7,9474.1582
000039.SZ,20090925,10.31,10.47,10.22,10.33,10.3,0.03,0.29,63973.87,66225.6611
000040.SZ,20090925,5.89,5.94,5.8,5.88,5.88,0.0,0.0,18723.6,11015.8619
000042.SZ,20090925,18.18,18.28,17.75,17.89,18.23,-0.34,-1.87,16907.51,30391.205
000043.SZ,20090925,17.38,17.6,16.75,16.98,17.48,-0.5,-2.86,17726.07,30562.614
000045.SZ,20090925,9.68,9.68,9.01,9.29,9.66,-0.37,-3.83,22005.45,20464.7897
000046.SZ,20090925,13.3,13.36,12.93,13.01,13.39,-0.38,-2.84,71516.73,93915.6684
000048.SZ,20090925,3.79,3.87,3.78,3.83,3.81,0.02,0.52,18886.01,7204.2833
000049.SZ,20090925,8.81,9.09,8.81,9.01,8.91,0.1,1.12,19183.87,17256.3622
000050.SZ,20090925,4.92,5.04,4.9,4.91,4.91,0.0,0.0,46562.78,23129.5594
000055.SZ,20090925,8.06,8.1,7.87,7.89,8.18,-0.29,-3.55,30600.01,24417.4574
000056.SZ,20090925,8.0,8.19,7.81,8.03,8.05,-0.02,-0.25,17399.2,14098.0451
000058.SZ,20090925,4.13,4.19,4.1,4.14,4.15,-0.01,-0.24,48715.96,20177.194
000059.SZ,20090925,9.99,10.18,9.67,10.11,9.97,0.14,1.4,90866.68,90154.8508
000060.SZ,20090925,23.03,23.48,22.6,22.76,23.85,-1.09,-4.57,144510.71,332834.93
000061.SZ,20090925,10.51,10.6,10.4,10.43,10.5,-0.07,-0.67,31200.87,32776.4648
000062.SZ,20090925,9.15,9.28,9.0,9.05,9.26,-0.21,-2.27,16965.59,15531.485
000063.SZ,20090925,36.6,37.77,36.4,36.46,36.6,-0.14,-0.38,50576.96,188293.7857
000065.SZ,20090925,20.1,20.48,19.95,20.29,19.97,0.32,1.6,12281.3,24932.2193
000066.SZ,20090925,11.13,11.22,10.95,11.03,11.18,-0.15,-1.34,43571.25,48362.0202
000068.SZ,20090925,6.73,7.16,6.73,6.91,6.9,0.01,0.14,133030.81,93389.7321
000069.SZ,20090925,19.39,19.43,18.69,19.1,19.39,-0.29,-1.5,115593.92,220708.3946
000070.SZ,20090925,7.23,7.38,7.19,7.24,7.22,0.02,0.28,19037.17,13892.952
000078.SZ,20090925,12.7,12.88,12.1,12.22,12.68,-0.46,-3.63,527435.3,657371.221
000088.SZ,20090925,8.1,8.3,7.76,7.8,7.67,0.13,1.69,160253.03,127476.9681
000089.SZ,20090925,6.88,6.92,6.79,6.84,6.87,-0.03,-0.44,58584.61,40204.5722
000090.SZ,20090925,6.36,6.38,6.25,6.31,6.39,-0.08,-1.25,32246.04,20364.244
000096.SZ,20090925,6.16,6.22,6.0,6.08,6.22,-0.14,-2.25,24341.8,14873.0781
000099.SZ,20090925,7.4,7.55,7.03,7.08,7.63,-0.55,-7.21,150420.39,108542.8676
000100.SZ,20090925,3.57,3.65,3.54,3.58,3.57,0.01,0.28,235237.48,84557.3291
000150.SZ,20090925,6.58,6.65,6.48,6.53,6.59,-0.06,-0.91,27462.25,18035.0207
000151.SZ,20090925,8.01,8.01,7.39,7.39,8.03,-0.64,-7.97,72764.35,55066.9197
000153.SZ,20090925,5.76,5.84,5.71,5.78,5.77,0.01,0.17,21384.84,12370.2917
000155.SZ,20090925,7.71,7.78,7.61,7.65,7.79,-0.14,-1.8,20263.22,15594.0764
000157.SZ,20090925,24.29,24.38,23.5,23.94,24.3,-0.36,-1.48,96455.59,230872.6489
000158.SZ,20090925,5.96,6.17,5.92,6.09,5.97,0.12,2.01,79139.27,47905.3341
000159.SZ,20090925,13.25,14.04,13.2,13.68,13.33,0.35,2.63,89414.33,123167.5343
000301.SZ,20090925,5.97,6.05,5.87,5.91,5.96,-0.05,-0.84,67222.48,40083.6582
000338.SZ,20090925,49.73,51.49,48.86,50.6,50.0,0.6,1.2,27266.07,136336.6319
000400.SZ,20090925,23.09,23.17,22.59,22.85,23.0,-0.15,-0.65,29734.71,68107.0953
000401.SZ,20090925,13.4,13.52,13.21,13.3,13.53,-0.23,-1.7,26455.07,35320.6865
000402.SZ,20090925,11.15,11.3,10.99,11.07,11.28,-0.21,-1.86,201145.74,223974.2689
000404.SZ,20090925,6.54,6.54,6.27,6.29,6.52,-0.23,-3.53,55593.77,35432.4592
000407.SZ,20090925,7.72,7.86,7.63,7.75,7.77,-0.02,-0.26,44924.34,34786.7704
000408.SZ,20090925,8.23,8.47,8.18,8.32,8.27,0.05,0.6,23361.8,19528.5943
000409.SZ,20090925,5.73,5.77,5.6,5.7,5.72,-0.02,-0.35,14989.81,8509.2921
000410.SZ,20090925,7.92,8.34,7.9,8.25,7.99,0.26,3.25,128699.46,104994.2195
000411.SZ,20090925,6.2,6.31,6.15,6.16,6.22,-0.06,-0.96,12720.97,7934.1411
000413.SZ,20090925,8.68,8.99,8.66,8.76,8.77,-0.01,-0.11,25563.46,22555.8799
000415.SZ,20090925,6.75,7.16,6.68,6.87,6.68,0.19,2.84,101266.32,70349.873
000416.SZ,20090925,7.8,7.99,7.75,7.85,7.8,0.05,0.64,29144.6,23032.8549
000417.SZ,20090925,9.95,10.08,9.62,10.0,9.98,0.02,0.2,75768.05,74905.4251
000418.SZ,20090925,8.95,9.28,8.81,9.05,9.0,0.05,0.56,33076.15,30151.4574
000419.SZ,20090925,5.88,5.98,5.8,5.95,5.87,0.08,1.36,20587.04,12154.1654
000420.SZ,20090925,4.44,4.58,4.31,4.58,4.43,0.15,3.39,106357.69,47131.6165
000421.SZ,20090925,5.25,5.35,5.21,5.24,5.28,-0.04,-0.76,20575.56,10860.7539
000422.SZ,20090925,15.65,16.0,15.35,15.52,15.9,-0.38,-2.39,52429.92,81920.3398
000423.SZ,20090925,19.3,19.85,19.3,19.65,19.53,0.12,0.61,45112.39,88407.0926
000425.SZ,20090925,32.75,33.44,31.85,32.71,33.01,-0.3,-0.91,21056.61,68445.7491
000426.SZ,20090925,9.56,9.77,9.45,9.53,9.44,0.09,0.95,46824.21,45166.2904
000428.SZ,20090925,6.76,6.88,6.7,6.79,6.8,-0.01,-0.15,32306.87,21991.835
000429.SZ,20090925,4.81,4.84,4.77,4.79,4.8,-0.01,-0.21,31204.91,14993.2142
000488.SZ,20090925,7.53,7.55,7.39,7.44,7.59,-0.15,-1.98,159109.64,118926.0082
000501.SZ,20090925,13.53,13.82,13.0,13.11,13.67,-0.56,-4.1,49637.34,66302.9169
000502.SZ,20090925,9.1,9.22,8.93,8.97,9.2,-0.23,-2.5,16894.54,15307.7611
000503.SZ,20090925,8.52,8.82,8.19,8.44,8.56,-0.12,-1.4,506600.73,431770.1718
000504.SZ,20090925,8.48,8.68,8.35,8.41,8.5,-0.09,-1.06,38564.43,32820.6378
000505.SZ,20090925,5.71,5.75,5.63,5.65,5.72,-0.07,-1.22,34532.03,19659.2488
000506.SZ,20090925,7.08,7.12,6.91,6.94,7.08,-0.14,-1.98,32376.74,22620.1004
000507.SZ,20090925,6.85,6.95,6.69,6.77,6.91,-0.14,-2.03,24280.11,16537.7327
000509.SZ,20090925,7.18,7.47,7.12,7.2,7.17,0.03,0.42,30627.48,22336.4722
000510.SZ,20090925,6.4,6.4,5.83,5.88,6.48,-0.6,-9.26,295916.7,177563.1072
000511.SZ,20090925,4.34,4.39,4.29,4.29,4.38,-0.09,-2.05,112257.07,48628.2225
000513.SZ,20090925,29.02,29.46,28.5,28.68,29.48,-0.8,-2.71,8004.37,23243.5283
000514.SZ,20090925,12.08,12.2,11.8,11.88,12.22,-0.34,-2.78,62158.36,74419.4478
000516.SZ,20090925,7.03,7.15,6.98,7.01,7.02,-0.01,-0.14,37162.87,26196.7103
000517.SZ,20090925,10.02,10.09,9.84,9.98,10.15,-0.17,-1.67,58985.25,58697.7052
000518.SZ,20090925,3.26,3.28,3.23,3.24,3.25,-0.01,-0.31,90189.22,29378.5913
000520.SZ,20090925,5.24,5.7,5.13,5.52,5.19,0.33,6.36,573886.54,311988.001
000521.SZ,20090925,6.92,7.11,6.66,6.91,6.95,-0.04,-0.58,108298.75,74789.4729
000522.SZ,20090925,7.68,7.75,7.55,7.67,7.65,0.02,0.26,50081.46,38387.2112
000523.SZ,20090925,7.27,7.33,7.05,7.13,7.39,-0.26,-3.52,55159.77,39580.8636
000524.SZ,20090925,7.29,7.52,7.11,7.36,7.3,0.06,0.82,35610.79,26166.6431
000525.SZ,20090925,13.26,13.39,13.18,13.23,13.25,-0.02,-0.15,19414.86,25744.3605
000526.SZ,20090925,12.28,12.28,11.81,11.81,12.33,-0.52,-4.22,13142.59,15817.4439
000527.SZ,20090925,17.28,17.93,16.93,17.6,17.42,0.18,1.03,82986.85,144528.3728
000528.SZ,20090925,16.29,16.38,16.02,16.3,16.3,0.0,0.0,55381.76,89823.1046
000529.SZ,20090925,7.21,7.83,7.04,7.8,7.3,0.5,6.85,198960.72,147869.6384
000530.SZ,20090925,8.08,8.21,8.01,8.21,8.06,0.15,1.86,37338.25,30391.203
000531.SZ,20090925,15.9,15.9,15.2,15.3,15.8,-0.5,-3.16,19688.8,30309.5086
000532.SZ,20090925,13.44,13.44,12.7,12.77,13.5,-0.73,-5.41,212739.9,276046.0712
000533.SZ,20090925,7.97,7.97,7.75,7.82,8.0,-0.18,-2.25,25603.95,20084.1623
000534.SZ,20090925,6.49,6.49,6.32,6.36,6.46,-0.1,-1.55,19936.12,12799.6883
