ts_code,trade_date,open,high,low,close,pre_close,change,pct_change,vol,amount
000001.SZ,20090210,13.61,13.8,13.18,13.66,13.75,-0.09,-0.65,533705.64,719521.4849
000002.SZ,20090210,7.9,8.27,7.72,8.14,7.9,0.24,3.04,2855232.44,2298856.8969
000004.SZ,20090210,4.52,4.69,4.47,4.65,4.52,0.13,2.88,16978.86,7725.0361
000005.SZ,20090210,3.05,3.13,2.98,3.12,3.04,0.08,2.63,372893.34,114624.0864
000006.SZ,20090210,6.22,6.6,6.08,6.6,6.25,0.35,5.6,357369.19,230433.2383
000007.SZ,20090210,4.33,4.35,4.24,4.33,4.38,-0.05,-1.14,43687.1,18728.157
000008.SZ,20090210,5.88,6.13,5.85,6.08,5.92,0.16,2.7,5993.28,3580.965
000009.SZ,20090210,6.7,7.34,6.59,7.34,6.67,0.67,10.05,447356.25,312878.4397
000010.SZ,20090210,6.36,6.42,6.2,6.4,6.37,0.03,0.47,18462.47,11671.6827
000011.SZ,20090210,5.0,5.12,4.86,5.0,5.0,0.0,0.0,28433.48,14225.221
000012.SZ,20090210,11.45,12.62,11.17,12.62,11.47,1.15,10.03,331335.62,409697.3387
000014.SZ,20090210,8.7,8.91,8.48,8.87,8.7,0.17,1.95,80925.53,70667.003
000016.SZ,20090210,4.09,4.12,3.99,4.11,4.1,0.01,0.24,237784.89,96575.2295
000018.SZ,20090210,4.55,4.59,4.4,4.58,4.56,0.02,0.44,6099.18,2754.9978
000019.SZ,20090210,6.8,7.06,6.66,7.04,6.9,0.14,2.03,62985.61,43131.3997
000020.SZ,20090210,3.21,3.26,3.1,3.26,3.21,0.05,1.56,31615.88,10022.6298
000021.SZ,20090210,5.83,6.05,5.83,6.0,5.71,0.29,5.08,304202.37,180610.7092
000022.SZ,20090210,11.57,12.4,11.5,12.27,11.6,0.67,5.78,77977.71,92970.7802
000023.SZ,20090210,4.76,4.97,4.73,4.95,4.78,0.17,3.56,42367.9,20585.9323
000024.SZ,20090210,16.59,17.58,16.26,16.81,16.68,0.13,0.78,128243.54,214233.5851
000025.SZ,20090210,4.66,4.85,4.54,4.82,4.65,0.17,3.66,34833.33,16397.2162
000026.SZ,20090210,6.65,6.99,6.59,6.88,6.77,0.11,1.62,62691.62,43023.1523
000027.SZ,20090210,9.41,10.21,9.31,10.07,9.48,0.59,6.22,187842.46,181673.1728
000029.SZ,20090210,3.25,3.45,3.23,3.42,3.3,0.12,3.64,167032.76,56336.2617
000030.SZ,20090210,3.0,3.13,2.95,3.13,2.98,0.15,5.03,49312.83,15158.9024
000031.SZ,20090210,6.19,6.54,6.08,6.5,6.23,0.27,4.33,580436.99,371220.9544
000032.SZ,20090210,6.35,6.87,6.22,6.81,6.41,0.4,6.24,128323.87,83615.2796
000033.SZ,20090210,3.51,3.67,3.35,3.64,3.51,0.13,3.7,128871.7,45000.847
000034.SZ,20090210,2.5,2.63,2.45,2.63,2.5,0.13,5.2,97422.46,25489.6207
000035.SZ,20090210,3.52,3.57,3.41,3.53,3.53,0.0,0.0,58379.67,20323.3967
000036.SZ,20090210,2.52,2.7,2.49,2.7,2.56,0.14,5.47,479615.09,124436.9337
000037.SZ,20090210,4.04,4.36,3.95,4.36,4.03,0.33,8.19,61881.07,25373.6179
000039.SZ,20090210,7.85,8.34,7.74,8.31,7.91,0.4,5.06,373849.07,299183.4553
000040.SZ,20090210,4.31,4.4,4.22,4.38,4.31,0.07,1.62,120494.41,52110.1833
000042.SZ,20090210,9.71,10.19,9.63,9.84,9.86,-0.02,-0.2,103832.64,102347.8118
000043.SZ,20090210,6.7,7.48,6.6,7.48,6.8,0.68,10.0,94092.54,66610.6666
000045.SZ,20090210,5.9,6.03,5.82,6.03,5.89,0.14,2.38,50243.05,29961.2185
000046.SZ,20090210,8.15,8.6,8.0,8.59,8.17,0.42,5.14,174586.98,146105.6472
000048.SZ,20090210,2.81,2.85,2.75,2.85,2.81,0.04,1.42,59008.7,16585.6327
000049.SZ,20090210,9.21,10.2,9.1,10.07,9.38,0.69,7.36,134378.31,130323.3347
000050.SZ,20090210,4.13,4.28,4.06,4.27,4.18,0.09,2.15,145433.97,60570.0284
000055.SZ,20090210,5.7,6.18,5.52,6.09,5.69,0.4,7.03,240118.9,140631.0212
000056.SZ,20090210,6.7,7.07,6.55,6.96,6.78,0.18,2.65,51427.51,34786.0137
000058.SZ,20090210,2.64,2.73,2.6,2.73,2.67,0.06,2.25,142203.05,37757.4234
000059.SZ,20090210,7.6,7.7,7.44,7.68,7.61,0.07,0.92,142160.39,107573.6617
000060.SZ,20090210,13.5,14.18,13.0,13.8,13.51,0.29,2.15,356219.19,487945.4518
