ts_code,trade_date,open,high,low,close,pre_close,change,pct_change,vol,amount
000001.SZ,20050620,6.36,6.5,6.07,6.39,6.37,0.02,0.31,152498.83,96519.9123
000002.SZ,20050620,4.72,4.86,4.67,4.85,4.72,0.13,2.75,162496.59,77660.8522
000004.SZ,20050620,4.62,4.87,4.5,4.82,4.72,0.1,2.12,4826.22,2285.8816
000005.SZ,20050620,1.36,1.39,1.32,1.38,1.37,0.01,0.73,17949.08,2439.1109
000006.SZ,20050620,4.02,4.11,3.99,4.11,4.02,0.09,2.24,5282.91,2150.5001
000007.SZ,20050620,3.73,3.96,3.68,3.91,3.77,0.14,3.71,18921.65,7314.9834
000008.SZ,20050620,6.06,6.28,5.72,6.25,6.09,0.16,2.63,15175.57,9218.7161
000009.SZ,20050620,2.52,2.56,2.45,2.56,2.5,0.06,2.4,26773.44,6739.2952
000010.SZ,20050620,3.06,3.23,3.03,3.22,3.15,0.07,2.22,6304.23,1985.0314
000011.SZ,20050620,4.22,4.49,4.2,4.48,4.22,0.26,6.16,19350.77,8480.3446
000012.SZ,20050620,3.62,3.83,3.58,3.81,3.61,0.2,5.54,28489.12,10643.2358
000014.SZ,20050620,5.0,5.18,4.96,5.18,5.06,0.12,2.37,4263.53,2176.3609
000016.SZ,20050620,4.13,4.26,3.98,4.25,4.18,0.07,1.67,29148.17,12028.5123
000017.SZ,20050620,1.55,1.68,1.55,1.65,1.6,0.05,3.13,11150.0,1821.164
000018.SZ,20050620,4.45,4.56,4.35,4.55,4.45,0.1,2.25,2176.14,970.6679
000019.SZ,20050620,4.33,4.49,4.33,4.48,4.38,0.1,2.28,2815.59,1246.3287
000020.SZ,20050620,2.64,2.67,2.52,2.66,2.65,0.01,0.38,3629.3,952.879
000021.SZ,20050620,7.43,8.05,7.34,7.92,7.49,0.43,5.74,20742.23,16099.4602
000022.SZ,20050620,27.86,29.35,27.45,28.81,27.9,0.91,3.26,4145.28,11928.3672
000023.SZ,20050620,3.88,4.07,3.88,4.07,3.99,0.08,2.01,2912.09,1161.2198
000024.SZ,20050620,6.94,7.29,6.89,7.28,6.98,0.3,4.3,12434.51,8817.9083
000025.SZ,20050620,3.06,3.22,3.06,3.21,3.16,0.05,1.58,3955.79,1239.491
000026.SZ,20050620,4.1,4.34,4.05,4.32,4.1,0.22,5.37,2524.28,1058.7223
000027.SZ,20050620,6.45,6.75,6.34,6.73,6.4,0.33,5.16,96184.05,63707.2935
000028.SZ,20050620,4.01,4.19,3.95,4.17,4.05,0.12,2.96,5352.88,2185.2856
000029.SZ,20050620,3.83,4.0,3.78,4.0,3.86,0.14,3.63,17286.42,6733.8775
000030.SZ,20050620,1.25,1.28,1.21,1.27,1.26,0.01,0.79,4518.0,558.902
000031.SZ,20050620,4.64,4.84,4.56,4.81,4.64,0.17,3.66,18325.06,8689.4072
000032.SZ,20050620,5.51,5.83,5.41,5.77,5.57,0.2,3.59,10353.0,5844.9186
000033.SZ,20050620,3.05,3.16,3.01,3.14,3.08,0.06,1.95,4499.0,1389.548
000034.SZ,20050620,1.5,1.6,1.47,1.6,1.52,0.08,5.26,12205.64,1896.54
000036.SZ,20050620,3.55,3.74,3.47,3.72,3.55,0.17,4.79,57712.07,21003.0577
000037.SZ,20050620,7.44,7.92,7.37,7.88,7.44,0.44,5.91,14270.22,10993.2502
000038.SZ,20050620,5.65,6.16,5.63,6.16,5.6,0.56,10.0,4920.5,2940.852
000039.SZ,20050620,9.69,10.28,9.0,10.1,9.87,0.23,2.33,625537.99,607639.4801
000040.SZ,20050620,2.04,2.1,1.95,2.09,2.07,0.02,0.97,22409.0,4565.1818
000042.SZ,20050620,5.29,5.48,5.28,5.48,5.39,0.09,1.67,5879.69,3189.2724
000043.SZ,20050620,5.81,6.02,5.64,6.02,5.85,0.17,2.91,1816.51,1072.149
000045.SZ,20050620,4.81,4.9,4.64,4.9,4.74,0.16,3.38,4936.98,2377.4485
000046.SZ,20050620,4.03,4.03,3.71,3.75,3.66,0.09,2.46,34325.29,12949.5809
000048.SZ,20050620,2.24,2.28,2.18,2.28,2.24,0.04,1.79,8683.5,1936.5283
000049.SZ,20050620,6.31,6.7,6.15,6.59,6.37,0.22,3.45,21425.25,13800.4306
000050.SZ,20050620,6.45,6.93,6.35,6.82,6.43,0.39,6.07,18321.3,12303.8956
000055.SZ,20050620,5.38,5.73,5.32,5.69,5.46,0.23,4.21,8596.14,4802.4309
000056.SZ,20050620,3.52,3.67,3.35,3.63,3.53,0.1,2.83,13848.76,4907.8242
000058.SZ,20050620,3.73,3.86,3.63,3.82,3.74,0.08,2.14,3420.81,1288.0669
000059.SZ,20050620,4.22,4.41,4.1,4.41,4.24,0.17,4.01,16786.92,7229.8322
000060.SZ,20050620,5.75,5.97,5.63,5.94,5.72,0.22,3.85,10362.06,6032.4329
000062.SZ,20050620,4.51,4.7,4.33,4.67,4.52,0.15,3.32,9967.93,4538.4896
000063.SZ,20050620,24.05,24.6,23.5,23.89,24.24,-0.35,-1.44,43911.24,105417.1729
000065.SZ,20050620,4.47,4.65,4.3,4.56,4.58,-0.02,-0.44,10925.76,4868.6928
000066.SZ,20050620,7.85,8.29,7.65,8.23,7.88,0.35,4.44,28045.9,22487.1634
000068.SZ,20050620,5.58,5.85,5.48,5.77,5.6,0.17,3.04,47519.11,27058.2097
000069.SZ,20050620,9.01,9.45,8.94,9.21,8.92,0.29,3.25,62203.68,57336.2834
000070.SZ,20050620,4.0,4.23,3.91,4.2,4.05,0.15,3.7,5400.22,2206.3115
000078.SZ,20050620,3.9,4.1,3.78,4.07,3.9,0.17,4.36,31891.33,12674.6726
000088.SZ,20050620,10.13,11.11,10.05,11.11,10.1,1.01,10.0,97033.37,104930.1309
000089.SZ,20050620,7.72,8.22,7.61,8.17,7.7,0.47,6.1,56410.07,45244.7247
000090.SZ,20050620,4.78,4.85,4.68,4.85,4.78,0.07,1.46,3684.35,1770.2165
000096.SZ,20050620,3.85,3.96,3.75,3.95,3.84,0.11,2.86,16079.99,6245.4776
000099.SZ,20050620,3.54,3.7,3.46,3.69,3.54,0.15,4.24,20590.38,7436.7286
000150.SZ,20050620,2.1,2.15,2.03,2.15,2.07,0.08,3.86,20381.76,4283.7631
