ts_code,trade_date,open,high,low,close,pre_close,change,pct_change,vol,amount
000001.SZ,20040816,8.04,8.2,7.97,8.06,8.03,0.03,0.37,18274.08,14687.0018
000002.SZ,20040816,5.55,5.66,5.49,5.59,5.5,0.09,1.64,168449.51,93967.8254
000004.SZ,20040816,6.85,6.85,6.4,6.5,6.9,-0.4,-5.8,7941.0,5201.2421
000005.SZ,20040816,2.8,2.91,2.78,2.88,2.77,0.11,3.97,63338.46,17986.0604
000006.SZ,20040816,4.44,4.48,4.18,4.26,4.48,-0.22,-4.91,7237.61,3116.9868
000007.SZ,20040816,5.01,5.01,4.53,4.53,5.03,-0.5,-9.94,11654.53,5386.2142
000008.SZ,20040816,8.37,8.55,8.23,8.46,8.48,-0.02,-0.24,944.0,788.2452
000009.SZ,20040816,3.8,3.85,3.63,3.67,3.81,-0.14,-3.67,15412.5,5681.9074
000010.SZ,20040816,5.18,5.18,4.8,4.85,5.15,-0.3,-5.83,8917.39,4359.8521
000011.SZ,20040816,4.5,4.58,4.42,4.46,4.46,0.0,0.0,1168.0,523.133
000012.SZ,20040816,9.85,9.88,9.4,9.46,9.89,-0.43,-4.35,12674.52,12069.3334
000014.SZ,20040816,6.37,6.48,6.11,6.34,6.34,0.0,0.0,2645.3,1646.3568
000016.SZ,20040816,6.22,6.23,5.98,6.05,6.17,-0.12,-1.94,11665.63,7061.1882
000017.SZ,20040816,4.06,4.07,3.9,4.0,4.1,-0.1,-2.44,3690.53,1470.0676
000018.SZ,20040816,8.05,8.06,7.77,7.8,8.11,-0.31,-3.82,1604.01,1258.5568
000019.SZ,20040816,6.37,6.37,6.11,6.16,6.38,-0.22,-3.45,2246.99,1387.5192
000020.SZ,20040816,4.22,4.35,4.18,4.22,4.25,-0.03,-0.71,2756.7,1165.5855
000021.SZ,20040816,10.63,10.65,10.45,10.56,10.67,-0.11,-1.03,4926.83,5191.172
000022.SZ,20040816,19.98,20.6,19.98,20.02,19.88,0.14,0.7,1281.25,2591.6522
000023.SZ,20040816,5.7,5.7,5.42,5.45,5.72,-0.27,-4.72,2134.0,1177.485
000024.SZ,20040816,8.48,8.53,8.36,8.45,8.48,-0.03,-0.35,4432.78,3734.8962
000025.SZ,20040816,3.65,3.71,3.52,3.54,3.66,-0.12,-3.28,942.0,338.951
000026.SZ,20040816,5.8,5.8,5.2,5.38,5.78,-0.4,-6.92,4658.31,2490.0309
000027.SZ,20040816,9.0,9.1,8.96,9.0,9.05,-0.05,-0.55,35955.48,32514.3154
000028.SZ,20040816,5.29,5.29,5.1,5.16,5.28,-0.12,-2.27,2470.0,1278.998
000029.SZ,20040816,6.09,6.13,5.55,5.62,6.15,-0.53,-8.62,20764.63,11893.0361
000030.SZ,20040816,2.15,2.25,2.15,2.22,2.21,0.01,0.45,3271.4,721.817
000031.SZ,20040816,7.8,7.8,7.31,7.36,7.69,-0.33,-4.29,19944.66,14890.0086
000032.SZ,20040816,7.45,7.46,7.16,7.24,7.45,-0.21,-2.82,2996.1,2176.4279
000033.SZ,20040816,4.39,4.5,4.26,4.31,4.39,-0.08,-1.82,3274.67,1426.1748
000034.SZ,20040816,5.65,5.75,5.35,5.72,5.67,0.05,0.88,17671.86,9795.1606
000035.SZ,20040816,8.0,8.0,7.43,7.5,8.25,-0.75,-9.09,5851.84,4436.175
000036.SZ,20040816,5.31,5.4,5.18,5.18,5.28,-0.1,-1.89,23591.75,12487.0855
000037.SZ,20040816,10.5,10.64,10.16,10.35,10.54,-0.19,-1.8,7716.23,7923.331
000038.SZ,20040816,8.86,8.9,8.1,8.54,8.91,-0.37,-4.15,3777.21,3197.9658
000039.SZ,20040816,18.36,18.73,17.87,18.01,18.35,-0.34,-1.85,57905.3,106517.2728
000040.SZ,20040816,3.89,3.89,3.73,3.84,3.89,-0.05,-1.29,15904.02,6038.0976
000042.SZ,20040816,5.95,5.95,5.8,5.83,5.95,-0.12,-2.02,1177.56,688.7099
000043.SZ,20040816,7.1,7.1,6.88,6.88,7.1,-0.22,-3.1,1291.07,894.8212
000045.SZ,20040816,7.32,7.32,7.06,7.15,7.33,-0.18,-2.46,2733.36,1960.7853
000046.SZ,20040816,4.11,4.11,3.84,3.99,4.11,-0.12,-2.92,2405.4,965.7606
000048.SZ,20040816,2.59,2.59,2.43,2.43,2.56,-0.13,-5.08,2523.0,620.97
000050.SZ,20040816,8.06,8.28,8.0,8.13,8.06,0.07,0.87,17316.8,14122.029
000055.SZ,20040816,9.0,9.0,8.18,8.28,9.09,-0.81,-8.91,20559.33,17238.6976
000056.SZ,20040816,6.0,6.05,5.8,5.84,5.99,-0.15,-2.5,3449.08,2031.8953
000058.SZ,20040816,6.2,6.2,5.91,6.01,6.18,-0.17,-2.75,3682.94,2230.8452
000059.SZ,20040816,4.53,4.55,4.41,4.41,4.53,-0.12,-2.65,7207.07,3207.3894
000060.SZ,20040816,6.08,6.26,6.05,6.17,6.12,0.05,0.82,12246.47,7542.0041
000061.SZ,20040816,4.63,4.68,4.48,4.52,4.63,-0.11,-2.38,9953.43,4514.2683
000062.SZ,20040816,7.25,7.25,6.74,6.77,7.25,-0.48,-6.62,10452.05,7257.2621
000063.SZ,20040816,22.09,22.09,21.82,21.96,22.09,-0.13,-0.59,1899.17,4157.7218
000065.SZ,20040816,6.06,6.11,5.85,5.94,6.11,-0.17,-2.78,2082.13,1234.4056
000066.SZ,20040816,10.4,10.56,10.31,10.5,10.46,0.04,0.38,4511.12,4706.3105
000068.SZ,20040816,8.75,8.75,8.01,8.2,8.75,-0.55,-6.29,13011.25,10758.7594
000069.SZ,20040816,6.15,6.2,6.1,6.13,6.15,-0.02,-0.33,14903.63,9164.2628
000070.SZ,20040816,6.68,6.74,6.5,6.6,6.66,-0.06,-0.9,1472.3,969.5806
000078.SZ,20040816,5.36,5.36,5.18,5.21,5.37,-0.16,-2.98,5535.24,2889.1312
000088.SZ,20040816,9.25,9.25,8.6,8.83,9.27,-0.44,-4.75,72869.31,64205.2336
000089.SZ,20040816,10.22,10.22,9.74,9.75,10.22,-0.47,-4.6,21990.04,21687.3628
000090.SZ,20040816,6.0,6.01,5.82,5.86,6.0,-0.14,-2.33,1622.97,959.572
000096.SZ,20040816,7.15,7.61,7.15,7.33,7.2,0.13,1.81,185148.66,139378.1489
000099.SZ,20040816,4.27,4.37,4.22,4.34,4.27,0.07,1.64,7427.73,3196.8008
000100.SZ,20040816,4.83,4.87,4.73,4.86,4.83,0.03,0.62,96079.25,46132.5203
000150.SZ,20040816,3.99,4.09,3.88,3.96,3.98,-0.02,-0.5,4224.3,1664.0373
000151.SZ,20040816,4.67,4.68,4.56,4.57,4.69,-0.12,-2.56,3971.66,1828.5247
000153.SZ,20040816,8.06,8.62,8.06,8.48,8.56,-0.08,-0.93,181.02,149.6863
000155.SZ,20040816,3.7,3.71,3.64,3.67,3.71,-0.04,-1.08,3514.12,1288.7454
000156.SZ,20040816,7.82,7.82,7.6,7.64,7.79,-0.15,-1.93,3838.52,2955.0433
000157.SZ,20040816,8.75,8.87,8.6,8.68,8.8,-0.12,-1.36,4728.0,4111.6773
000158.SZ,20040816,4.15,4.23,4.06,4.08,4.2,-0.12,-2.86,3965.1,1623.5726
000159.SZ,20040816,5.24,5.29,5.1,5.23,5.29,-0.06,-1.13,2254.73,1163.0603
000301.SZ,20040816,4.32,4.35,4.21,4.22,4.34,-0.12,-2.77,3335.5,1421.078
000400.SZ,20040816,9.82,9.98,9.7,9.85,9.84,0.01,0.1,3975.48,3903.5924
000401.SZ,20040816,4.12,4.12,3.82,3.91,4.15,-0.24,-5.78,41867.84,16596.8371
000402.SZ,20040816,9.12,9.16,8.9,9.0,9.1,-0.1,-1.1,6784.9,6142.9574
000403.SZ,20040816,5.17,5.17,5.0,5.02,5.23,-0.21,-4.02,2183.68,1107.8445
000404.SZ,20040816,3.58,3.58,3.31,3.39,3.61,-0.22,-6.09,7075.74,2407.1215
000406.SZ,20040816,7.19,7.21,7.08,7.1,7.14,-0.04,-0.56,9959.5,7104.5644
000407.SZ,20040816,3.76,3.78,3.65,3.7,3.76,-0.06,-1.6,2293.0,848.0666
