ts_code,trade_date,open,high,low,close,pre_close,change,pct_change,vol,amount
000001.SZ,20071108,44.25,44.3,42.3,42.51,44.6,-2.09,-4.69,134171.1,581040.1918
000002.SZ,20071108,36.35,36.6,34.88,34.93,36.5,-1.57,-4.3,447973.42,1593598.3997
000004.SZ,20071108,9.85,10.1,9.48,10.1,9.62,0.48,4.99,39965.95,40072.6091
000005.SZ,20071108,6.84,6.99,6.6,6.62,6.9,-0.28,-4.06,71143.06,47720.678
000006.SZ,20071108,34.0,34.0,31.8,31.88,34.0,-2.12,-6.24,29533.57,96929.2362
000008.SZ,20071108,10.93,10.95,10.38,10.38,10.93,-0.55,-5.03,6096.1,6418.2436
000009.SZ,20071108,15.5,15.7,14.71,14.76,15.31,-0.55,-3.59,182129.19,278379.441
000011.SZ,20071108,14.5,14.5,13.77,13.77,14.49,-0.72,-4.97,9487.29,13313.9285
000012.SZ,20071108,19.67,19.67,18.1,18.29,19.66,-1.37,-6.97,34210.81,64231.3586
000016.SZ,20071108,7.96,8.05,7.28,7.54,8.05,-0.51,-6.34,79089.34,60745.8637
000018.SZ,20071108,7.82,8.09,7.8,7.8,7.95,-0.15,-1.89,2345.4,1854.0995
000019.SZ,20071108,18.48,18.74,17.66,17.71,18.48,-0.77,-4.17,18821.85,34069.2374
000020.SZ,20071108,7.15,7.3,6.95,6.96,7.1,-0.14,-1.97,18521.11,13247.7963
000021.SZ,20071108,16.53,16.63,15.46,15.5,16.5,-1.0,-6.06,88568.53,141025.5479
000022.SZ,20071108,26.67,26.7,25.3,25.3,26.86,-1.56,-5.81,7510.05,19432.0736
000023.SZ,20071108,10.6,10.6,9.98,10.08,10.68,-0.6,-5.62,5403.01,5520.2766
000024.SZ,20071108,87.19,88.0,85.0,85.1,88.5,-3.4,-3.84,7407.29,64179.1723
000025.SZ,20071108,15.69,15.69,14.3,14.6,15.7,-1.1,-7.01,11648.88,17265.1921
000027.SZ,20071108,21.2,22.0,21.08,21.34,21.12,0.22,1.04,91903.68,197294.2435
000028.SZ,20071108,15.25,15.39,14.8,14.9,15.22,-0.32,-2.1,8770.43,13303.0332
000029.SZ,20071108,7.42,7.46,7.07,7.08,7.47,-0.39,-5.22,40081.13,28987.9485
000031.SZ,20071108,29.98,29.98,27.6,27.67,30.28,-2.61,-8.62,63435.45,180998.9689
000032.SZ,20071108,11.8,11.89,10.9,10.9,11.89,-0.99,-8.33,23022.7,26084.2497
000033.SZ,20071108,6.02,6.02,5.8,5.88,6.0,-0.12,-2.0,19513.32,11493.1545
000034.SZ,20071108,8.75,8.95,8.55,8.55,8.75,-0.2,-2.29,9881.05,8603.8122
000036.SZ,20071108,7.05,7.25,7.02,7.04,7.04,0.0,0.0,118828.61,84801.6033
000037.SZ,20071108,8.15,8.15,7.81,8.07,8.15,-0.08,-0.98,11917.63,9508.0745
000039.SZ,20071108,26.1,26.1,25.05,25.08,26.15,-1.07,-4.09,110801.51,282011.0861
000040.SZ,20071108,8.17,8.17,7.81,7.9,8.28,-0.38,-4.59,45105.04,36124.1549
000042.SZ,20071108,25.5,25.68,23.31,23.31,25.7,-2.39,-9.3,12720.5,31234.7309
000043.SZ,20071108,24.6,25.17,24.01,24.01,24.9,-0.89,-3.57,3461.34,8561.6103
000045.SZ,20071108,7.35,7.39,7.04,7.04,7.39,-0.35,-4.74,7773.99,5621.3079
000046.SZ,20071108,62.0,62.0,61.0,61.5,62.0,-0.5,-0.81,4567.88,28000.5871
000048.SZ,20071108,5.63,5.68,5.34,5.37,5.62,-0.25,-4.45,22238.46,12157.4513
