,000422.SZ,000877.SZ,000932.SZ,002386.SZ,600123.SH,600308.SH,600508.SH,600782.SH,600971.SH,600997.SH,portfolio_return
20151201,0.0040999999999999995,0.0013,0.0068000000000000005,0.0575,0.0066,0.0037,0.0152,0.0265,0.0017000000000000001,0.0148,0.013819999999999999
20151202,0.0095,0.0654,0.020099999999999996,-0.0014000000000000002,0.025,0.0092,0.0189,0.0369,0.0256,0.0182,0.02274
20151203,0.0659,-0.0012,0.023,0.0279,0.0129,0.0055000000000000005,0.0098,0.014199999999999999,0.01,0.009000000000000001,0.017700000000000004
20151204,0.0391,-0.0048,-0.019299999999999998,0.1005,-0.0165,-0.0036,-0.0184,-0.013999999999999999,-0.009899999999999999,-0.024900000000000002,0.0028200000000000013
20151207,0.0012,0.0012,0.0033,0.0716,0.0052,0.0182,0.0148,0.0036,0.011699999999999999,0.0091,0.01399
20151208,-0.057,-0.045899999999999996,-0.026099999999999998,-0.0622,-0.0347,-0.035699999999999996,-0.0302,-0.0426,-0.0231,-0.030699999999999998,-0.03882000000000001
20151209,0.0077,-0.011399999999999999,0.0067,-0.0319,-0.004,-0.0037,0.004,-0.0019,0.0202,-0.009300000000000001,-0.0023600000000000006
20151210,-0.0204,-0.0128,-0.0167,0.0203,-0.004,-0.005600000000000001,-0.002,0.0019,0.0116,0.0019,-0.002580000000000001
20151211,-0.0209,0.0078000000000000005,-0.0034000000000000002,-0.0012,-0.0067,0.0,0.002,-0.005600000000000001,-0.011399999999999999,-0.0113,-0.00507
20151214,0.0146,0.028399999999999998,0.0204,0.0137,0.0337,0.027999999999999997,0.026000000000000002,0.026099999999999998,0.0463,0.024700000000000003,0.026190000000000005
20151215,-0.0092,0.0025,-0.0167,0.016,-0.0078000000000000005,0.0,-0.0127,0.0018,-0.020499999999999997,-0.0111,-0.00577
20151216,0.0,-0.0013,0.0102,-0.023,0.0026,-0.0018,0.0,0.0036,-0.0016,0.0019,-0.0009399999999999998
20151217,0.0252,0.0225,0.0369,0.0149,0.0184,0.0492,0.0168,0.0181,0.014499999999999999,0.0168,0.023330000000000004
20151218,-0.014199999999999999,-0.011000000000000001,-0.016200000000000003,-0.022000000000000002,0.0206,0.024300000000000002,0.013600000000000001,0.028399999999999998,-0.0048,0.0018,0.0020499999999999993
20151221,0.0262,0.0111,0.0329,0.0025,0.0101,0.011899999999999999,0.0067,0.0103,0.027200000000000002,0.0165,0.015539999999999998
20151222,0.0077,0.0147,0.0096,0.0622,-0.0038,-0.011699999999999999,-0.0029,0.0,0.0,0,0.007580000000000001
20151223,0.0038,-0.0109,-0.0252,-0.0351,-0.020099999999999996,-0.0203,-0.011399999999999999,-0.0051,0.023399999999999997,0,-0.01009
20151224,0.0088,-0.011000000000000001,0.0032,0.0024,0.0115,-0.0069,-0.0116,-0.0137,0.0,0,-0.00173
20151225,0.005,0.0049,0.0226,0.0085,-0.0013,0.012199999999999999,0.018500000000000003,-0.0034999999999999996,-0.010700000000000001,0,0.00562
20151228,-0.039900000000000005,-0.0282,-0.0315,-0.0216,-0.0317,-0.039599999999999996,-0.030699999999999998,-0.0366,-0.0338,-0.0054,-0.029900000000000006
20151229,0.0169,0.0253,0.022799999999999997,-0.0012,0.0366,0.0287,0.019799999999999998,0.028999999999999998,0.0111,0.0363,0.022529999999999998
20151230,0.0115,0.0074,0.0064,-0.0111,0.0126,0.0105,0.0078000000000000005,-0.0053,0.004699999999999999,-0.0175,0.0026999999999999997
20151231,-0.0202,-0.0183,0.0316,-0.0149,0.0012,-0.0052,-0.0106,0.0,-0.0141,-0.0053,-0.00558
