,000488.SZ,000932.SZ,600215.SH,600231.SH,600269.SH,600308.SH,600569.SH,600782.SH,600808.SH,600963.SH,portfolio_return
20140801,0.0023,0.0599,-0.0541,-0.034,-0.0103,0.0034000000000000002,-0.019799999999999998,0.0276,-0.0059,-0.0248,-0.005569999999999999
20140804,0.0138,0.0,0.021400000000000002,0.0096,0.0139,0.0101,0.0152,0.0149,0.011899999999999999,0.0085,0.01193
20140805,0.0045000000000000005,0.0348,0.0023,-0.0032,0.0068000000000000005,0.0166,0.01,0.0059,0.0118,0.0616,0.015110000000000002
20140806,0.0045000000000000005,-0.0084,-0.0023,0.0095,0.0,0.0098,0.0296,0.0,0.0233,-0.021099999999999997,0.004490000000000001
20140807,-0.018000000000000002,-0.0169,-0.006999999999999999,-0.009399999999999999,0.0,-0.0227,-0.0048,-0.0175,-0.005699999999999999,-0.013500000000000002,-0.01155
20140808,0.0069,-0.0129,0.0023,-0.0032,0.0,0.009899999999999999,-0.0096,-0.0179,-0.0171,0.0574,0.0015800000000000002
20140811,0.0091,0.030600000000000002,0.011699999999999999,0.0032,0.0102,0.0131,0.0097,0.0152,0.0233,0.054299999999999994,0.018039999999999997
20140812,-0.0023,-0.0127,0.0023,-0.0063,0.0,-0.006500000000000001,-0.0048,-0.009000000000000001,-0.005699999999999999,0.0098,-0.0035199999999999997
20140813,-0.0113,0.0086,-0.0046,0.022400000000000003,0.0,-0.006500000000000001,0.0,0.003,-0.011399999999999999,-0.0073,-0.0007099999999999997
20140814,-0.0046,-0.0128,0.0023,0.015600000000000001,-0.0034000000000000002,-0.0066,-0.0048,-0.003,-0.0058,0.0147,-0.0008399999999999996
20140815,0.0023,-0.0086,0.0069,0.0,0.0034000000000000002,0.0033,0.0049,0.012,0.0058,0.014499999999999999,0.00445
20140818,0.0023,-0.0087,0.0138,0.0031,0.0067,0.009899999999999999,0.0048,0.0089,0.0,-0.011899999999999999,0.0028899999999999998
20140819,0.0,0.0088,0.013600000000000001,0.0184,0.0033,0.0033,0.024,0.0059,0.0116,-0.012,0.00769
20140820,0.0091,-0.013000000000000001,0.051500000000000004,-0.012,0.013300000000000001,0.013000000000000001,-0.004699999999999999,-0.0059,0.005699999999999999,0.038900000000000004,0.009590000000000001
20140821,-0.0068000000000000005,-0.0044,-0.0106,-0.0091,-0.0132,0.0128,0.0,-0.003,-0.005699999999999999,0.0,-0.004
20140822,0.011399999999999999,0.013300000000000001,0.0,0.0092,-0.0033,0.0095,0.009399999999999999,0.0118,0.005699999999999999,-0.0023,0.00647
20140825,-0.0023,-0.0131,-0.0301,-0.0091,-0.01,-0.0219,0.004699999999999999,-0.0088,0.0,-0.011699999999999999,-0.010230000000000001
20140826,0.0045000000000000005,-0.044199999999999996,-0.013300000000000001,-0.0277,-0.013500000000000002,-0.0064,-0.0233,-0.0265,-0.017,-0.0451,-0.02125
20140827,0.0202,-0.0046,0.013500000000000002,-0.0032,0.0034000000000000002,0.0,-0.0095,0.003,-0.0116,0.0348,0.0046
20140828,-0.0066,-0.009300000000000001,-0.031,0.0032,-0.0102,-0.0194,-0.0288,-0.006,0.0058,0.0072,-0.009510000000000001
20140829,0.0022,0.0282,0.0137,0.0063,0.0069,0.0033,0.009899999999999999,0.0182,0.0058,0.0024,0.00969
