,000422.SZ,000608.SZ,000698.SZ,000900.SZ,002386.SZ,600215.SH,600308.SH,600322.SH,600508.SH,600569.SH,portfolio_return
20150202,0.0,-0.0067,-0.0077,-0.0169,0.0044,0.0166,-0.0273,-0.0182,-0.032799999999999996,-0.0194,-0.010799999999999999
20150203,0.0184,0.0045000000000000005,0.0097,0.013999999999999999,0.0229,-0.0033,0.011699999999999999,0.0139,0.0179,0.0132,0.012290000000000002
20150204,-0.015300000000000001,-0.0067,-0.0058,-0.0077,-0.010700000000000001,0.0016,0.0023,-0.011399999999999999,0.0018,0.0521,1.999999999999988e-05
20150205,-0.009899999999999999,-0.0067,-0.0213,-0.009300000000000001,-0.0118,-0.0098,-0.0115,-0.0046,-0.0203,-0.0464,-0.015160000000000002
20150206,-0.021400000000000002,-0.0248,-0.0217,-0.0203,0.0,-0.027999999999999997,-0.030299999999999997,-0.0209,-0.0292,-0.0195,-0.02161
20150209,-0.0044,-0.0092,0.004,-0.0048,0.0022,-0.0339,0.0,-0.0024,0.0019,-0.0033,-0.0049900000000000005
20150210,0.0088,0.0023,0.002,0.0177,0.0054,0.019299999999999998,0.0288,0.0095,0.0048,0.0166,0.01152
20150211,0.0029,0.009300000000000001,0.006,0.0158,0.0151,0.0138,0.006999999999999999,0.004699999999999999,0.0019,-0.006500000000000001,0.007000000000000001
20150212,0.0014000000000000002,0.0092,0.012,0.0016,0.0128,0.0,0.0,0.004699999999999999,0.0048,0.0132,0.0059700000000000005
20150213,0.0144,0.0183,0.0158,0.013999999999999999,0.0126,0.027200000000000002,0.0209,0.0163,0.0124,0.026000000000000002,0.01779
20150216,0.011399999999999999,0.013500000000000002,0.011699999999999999,0.0076,0.031200000000000002,0.009899999999999999,0.0091,0.0046,0.0161,0.0032,0.011829999999999999
20150217,0.0183,0.0089,0.0058,0.0076,-0.006999999999999999,0.008199999999999999,-0.0023,0.0091,0.009300000000000001,0.0158,0.0073700000000000015
20150225,0.0028000000000000004,-0.0044,0.0,-0.0045000000000000005,0.002,0.0146,-0.0045000000000000005,-0.0113,-0.0083,0.0062,-0.0007400000000000002
20150226,0.0138,0.0154,0.005699999999999999,0.0151,0.002,0.0,0.027200000000000002,0.0183,0.0167,0.0062,0.01204
20150227,0.0,0.0022,0.0171,-0.003,-0.0091,-0.0064,0.030899999999999997,0.013500000000000002,-0.0018,-0.0031,0.004030000000000001
