,000488.SZ,000608.SZ,000926.SZ,000932.SZ,600215.SH,600231.SH,600269.SH,600308.SH,600782.SH,600808.SH,portfolio_return
20141008,-0.004,0.0085,0.019,0.0042,0.0184,0.0053,0.0029,0.005,0.0,0.0152,0.00745
20141009,0.009899999999999999,-0.0021,0.0,0.0167,0.014499999999999999,0.018500000000000003,-0.0029,0.0175,-0.0102,0.0149,0.007679999999999999
20141010,-0.0138,-0.0042,0.0013,0.008199999999999999,0.0196,0.0026,-0.0118,-0.0098,0.0,0.0147,0.0006799999999999999
20141013,-0.012,0.0148,0.0067,-0.012199999999999999,-0.0192,-0.0104,0.003,-0.0149,-0.0103,-0.014499999999999999,-0.0069
20141014,-0.0101,-0.0125,-0.0106,0.024700000000000003,-0.010700000000000001,0.0079,0.0,-0.0076,0.0026,0.0098,-0.0006499999999999995
20141015,0.0143,-0.0147,0.004,0.0361,0.009000000000000001,0.0208,0.0148,0.0,0.028399999999999998,0.0291,0.014180000000000002
20141016,-0.0181,-0.010700000000000001,-0.009300000000000001,-0.0388,-0.0304,-0.0305,-0.0088,-0.0102,-0.0276,-0.009399999999999999,-0.01938
20141017,-0.0143,-0.0194,-0.0134,-0.0323,-0.035,-0.0341,-0.0147,-0.020499999999999997,-0.0233,-0.023799999999999998,-0.023079999999999996
20141020,-0.0040999999999999995,0.0176,0.0068000000000000005,0.0083,0.0172,0.0109,0.0269,0.0131,0.0053,0.0,0.0102
20141021,-0.0208,-0.0087,-0.0217,-0.0248,-0.015,-0.0054,-0.0175,-0.0181,-0.0132,-0.024399999999999998,-0.01696
20141022,-0.0064,0.0044,-0.0055000000000000005,-0.0212,-0.0076,-0.008100000000000001,-0.011899999999999999,-0.0079,-0.0053,-0.02,-0.008950000000000001
20141023,-0.0171,-0.0196,-0.005600000000000001,-0.026000000000000002,-0.030699999999999998,-0.0055000000000000005,-0.024,-0.04769999999999999,-0.0429,0.0102,-0.02089
20141024,0.0,-0.0022,0.0028000000000000004,0.0,0.0059,0.0055000000000000005,0.0062,-0.0028000000000000004,-0.022400000000000003,-0.0101,-0.0017100000000000006
20141027,0.0131,0.0022,0.0265,-0.0089,0.0039000000000000003,0.0163,-0.0060999999999999995,0.005600000000000001,0.0172,0.0,0.00698
20141028,0.0258,0.0111,0.019,0.0359,0.031400000000000004,0.0268,0.0215,0.030600000000000002,0.031,0.051,0.028410000000000005
20141029,0.0231,0.011000000000000001,0.012,0.0346,0.0076,0.0183,0.021099999999999997,0.016200000000000003,0.0191,0.10189999999999999,0.02649
20141030,-0.002,0.0,0.0171,0.046,0.0075,0.0179,0.08259999999999999,0.0106,0.029500000000000002,0.1013,0.03105
20141031,0.008199999999999999,0.0152,0.0233,0.016,0.03,-0.0076,-0.0109,0.0105,0.0313,0.1,0.021600000000000005
