,000761.SZ,000932.SZ,600215.SH,600219.SH,600227.SH,600231.SH,600269.SH,600308.SH,600569.SH,600963.SH,portfolio_return
20140303,0.0,0.0116,0.0154,0.0040999999999999995,0.057300000000000004,0.0066,0.0070999999999999995,0.0149,0.0181,0.0192,0.01543
20140304,-0.010700000000000001,-0.011399999999999999,0.0126,-0.008100000000000001,-0.0181,0.0,-0.0034999999999999996,-0.0073,0.0118,-0.009399999999999999,-0.004410000000000002
20140305,-0.0108,-0.0058,-0.0075,0.0,-0.0074,-0.009899999999999999,-0.0070999999999999995,0.0,0.0,0.0127,-0.00358
20140306,0.0037,-0.0058,0.005,0.0021,0.0111,-0.0033,0.0,0.0111,-0.0058,0.0,0.0018100000000000006
20140307,-0.0109,0.0058,0.0225,-0.008199999999999999,-0.0037,0.0033,-0.0072,-0.0109,-0.0118,-0.0125,-0.0033600000000000006
20140310,-0.0331,-0.0233,-0.0416,-0.0393,-0.0368,-0.04,-0.0217,-0.0406,-0.011899999999999999,-0.041100000000000005,-0.032940000000000004
20140311,0.0038,0.006,-0.0051,0.006500000000000001,0.015300000000000001,0.0104,0.0037,0.0115,0.012,-0.0066,0.005750000000000001
20140312,0.0189,0.0178,0.0026,0.0021,0.015,-0.0034000000000000002,0.0,0.0038,0.011899999999999999,0.0033,0.007199999999999998
20140313,0.0037,0.0,0.015300000000000001,0.0043,0.0148,0.0103,0.0037,0.0038,0.0118,0.0066,0.007429999999999999
20140314,-0.018500000000000003,-0.0058,-0.0101,-0.0127,-0.0037,-0.0102,-0.0037,0.0,0.0,0.0,-0.006470000000000001
20140317,0.0113,0.011699999999999999,0.0178,0.0129,0.0623,0.0103,0.0037,0.0113,0.0,0.0066,0.014790000000000001
20140318,-0.0037,-0.0058,0.005,0.0,-0.0172,-0.0034000000000000002,0.011000000000000001,0.0075,-0.0116,0.0033,-0.00149
20140319,0.0037,0.0174,-0.0124,0.0042,0.0316,0.0103,-0.0036,-0.0037,0.0235,0.0,0.007100000000000001
20140320,-0.0037,-0.005699999999999999,-0.0101,-0.0021,-0.023799999999999998,0.0034000000000000002,-0.0109,-0.011200000000000002,-0.023,-0.0163,-0.010339999999999998
20140321,0.0187,0.0172,0.0254,0.036000000000000004,0.0279,0.0169,0.022099999999999998,0.0301,0.0235,0.0265,0.02443
20140324,0.0184,0.0339,0.0124,0.0123,0.0,0.0166,0.018000000000000002,0.0109,0.0287,0.0161,0.016730000000000002
20140325,-0.0036,-0.0109,-0.0074,0.0141,-0.013600000000000001,-0.0033,-0.0034999999999999996,0.0,-0.011200000000000002,0.0063,-0.0033100000000000004
20140326,-0.0036,-0.0055000000000000005,0.0025,-0.01,-0.0206,-0.0066,-0.0070999999999999995,-0.0036,0.0,-0.0095,-0.0064
20140327,-0.0109,0.0,0.0123,-0.0161,0.0,-0.0066,0.0,-0.0072,-0.0113,-0.0127,-0.0052499999999999995
20140328,0.0,0.0,-0.0268,0.0123,-0.0281,-0.0166,0.010700000000000001,-0.0037,0.005699999999999999,0.0032,-0.0043300000000000005
20140331,-0.0037,-0.0222,-0.005,-0.0060999999999999995,-0.0072,0.0034000000000000002,-0.0034999999999999996,-0.0073,-0.017,-0.019299999999999998,-0.00879
