,000761.SZ,000932.SZ,600215.SH,600219.SH,600231.SH,600269.SH,600308.SH,600569.SH,600808.SH,600963.SH,portfolio_return
20140401,0.0074,0.028399999999999998,0.0025,0.002,0.013500000000000002,-0.0213,0.0148,0.0116,0.0062,0.0131,0.00782
20140402,0.011000000000000001,0.0055000000000000005,0.0175,0.014199999999999999,0.0166,0.0072,0.0109,0.011399999999999999,0.0123,0.0097,0.011630000000000001
20140403,-0.0109,-0.0165,0.0025,-0.006,-0.0131,-0.0072,0.0,-0.0113,-0.0121,-0.0128,-0.008740000000000001
20140404,0.0037,0.005600000000000001,0.0,0.004,0.0033,0.0072,-0.0036,0.011399999999999999,0.0,0.0097,0.004130000000000001
20140408,0.0109,0.005600000000000001,0.0049,0.012,0.009899999999999999,0.0108,0.0036,0.0113,0.0123,0.0161,0.00974
20140409,0.0036,0.0055000000000000005,0.0,0.0,-0.0033,0.0036,0.0036,0.0,0.0060999999999999995,0.0095,0.00286
20140410,0.0216,0.0055000000000000005,0.0049,0.004,0.0033,0.0106,0.0072,0.0,0.012,-0.0063,0.00628
20140411,-0.0034999999999999996,0.016399999999999998,-0.0049,0.0079,0.0033,0.0105,-0.0036,0.011200000000000002,0.006,-0.0095,0.0033799999999999998
20140414,-0.0106,-0.0108,0.0,0.0,0.006500000000000001,-0.0104,-0.0070999999999999995,0.0,-0.0059,-0.0032,-0.004150000000000001
20140415,0.0,-0.0163,0.0049,-0.015700000000000002,-0.0097,-0.0105,-0.0144,-0.022099999999999998,-0.011899999999999999,0.0032,-0.00925
20140416,0.0036,0.0,0.0024,-0.006,0.0033,0.0034999999999999996,-0.0037,0.005699999999999999,0.0,-0.0032,0.00056
20140417,-0.0070999999999999995,0.0,0.0121,-0.002,-0.006500000000000001,-0.0034999999999999996,0.0,-0.011200000000000002,-0.012,-0.0032,-0.00334
20140418,0.0072,-0.0055000000000000005,0.012,0.0,-0.0033,0.0,0.0037,0.0,-0.0060999999999999995,-0.0128,-0.00048000000000000007
20140421,0.0036,-0.005600000000000001,-0.026099999999999998,-0.018000000000000002,-0.009899999999999999,-0.014199999999999999,-0.0146,0.005699999999999999,0.0,-0.013000000000000001,-0.009210000000000001
20140422,0.0248,-0.0168,0.0,-0.0060999999999999995,-0.0066,0.0144,-0.0074,0.005699999999999999,-0.0060999999999999995,0.0,0.00019000000000000006
20140423,0.0242,0.005699999999999999,0.0097,-0.0040999999999999995,0.01,-0.0070999999999999995,0.0075,-0.005600000000000001,0.0,-0.0033,0.0037
20140424,0.0101,-0.0113,-0.012,0.008199999999999999,-0.0066,-0.0036,-0.0074,-0.0113,-0.0123,-0.0066,-0.00528
20140425,-0.0134,-0.0229,-0.058499999999999996,0.0123,-0.02,-0.0036,-0.0075,0.0171,-0.0125,-0.013300000000000001,-0.012230000000000001
20140428,-0.0068000000000000005,-0.023399999999999997,-0.0233,-0.0263,-0.030600000000000002,-0.0252,-0.0226,-0.0449,-0.019,-0.050499999999999996,-0.027260000000000003
20140429,0.0341,0.0,0.0106,0.014499999999999999,0.006999999999999999,0.0074,0.0077,0.0,-0.006500000000000001,0.0106,0.008539999999999999
20140430,-0.0363,0.006,0.0052,-0.002,-0.0418,0.0073,0.0038,0.0118,0.006500000000000001,0.006999999999999999,-0.0032499999999999994
