,000488.SZ,000608.SZ,000698.SZ,000926.SZ,000932.SZ,600215.SH,600231.SH,600269.SH,600308.SH,600782.SH,portfolio_return
20141103,0.008100000000000001,0.0085,0.0209,0.0291,0.0984,0.08,0.0203,0.0358,0.031200000000000002,0.053,0.03853
20141104,0.0121,-0.0042,0.0060999999999999995,0.0394,0.0179,-0.0017000000000000001,0.0,0.008,0.0151,0.012,0.01047
20141105,-0.002,0.0021,-0.0040999999999999995,-0.0213,-0.0387,0.0152,0.0348,-0.0264,-0.0199,-0.0095,-0.00698
20141106,-0.004,-0.0064,-0.0060999999999999995,0.0121,-0.0147,-0.024900000000000002,-0.0216,-0.0054,0.0253,-0.0215,-0.0067199999999999985
20141107,0.002,-0.0128,-0.0226,-0.0239,-0.011200000000000002,-0.0034000000000000002,-0.0098,0.0245,-0.0296,-0.012199999999999999,-0.009900000000000003
20141110,0.022000000000000002,0.0087,0.0105,0.013500000000000002,0.08650000000000001,-0.0017000000000000001,0.0323,0.0452,0.015300000000000001,0.0668,0.02991
20141111,-0.031400000000000004,-0.0365,-0.0292,-0.013300000000000001,-0.0311,-0.0394,-0.0096,0.0127,-0.0426,0.0232,-0.01972
20141112,0.008100000000000001,0.0178,0.019299999999999998,0.0171,0.010700000000000001,0.0392,0.0097,0.0151,0.0131,0.0181,0.016819999999999998
20141113,-0.006,0.0044,0.0126,0.0024,0.038900000000000004,0.09949999999999999,0.0216,-0.0124,-0.0026,0.062400000000000004,0.022080000000000002
20141114,0.0141,-0.0087,-0.0042,-0.0204,-0.034,-0.0484,-0.0070999999999999995,-0.0125,-0.0052,-0.0335,-0.01599
20141117,0.0219,0.0044,0.0167,0.0049,-0.0282,-0.0262,-0.023700000000000002,-0.0152,-0.0026,-0.0239,-0.007190000000000001
20141118,0.0019,0.0022,0.0144,0.011000000000000001,-0.0254,0.037000000000000005,-0.0121,-0.018000000000000002,0.0,-0.013300000000000001,-0.00022999999999999984
20141119,0.011699999999999999,-0.0022,0.0,0.0302,0.011200000000000002,0.008100000000000001,0.0098,0.0052,-0.0052,0.0045000000000000005,0.007330000000000001
20141120,0.0,-0.0066,-0.008100000000000001,-0.0187,-0.011000000000000001,-0.0032,0.0146,0.0,0.0131,-0.0269,-0.00468
20141121,0.0019,0.0066,0.022400000000000003,0.0072,0.0223,-0.0032,0.0288,0.0209,0.0311,0.023,0.0161
20141124,0.0154,0.032799999999999996,0.0279,0.0664,0.0655,0.0032,0.0023,0.023,0.0025,0.0473,0.028630000000000003
20141125,0.0,0.0021,0,-0.0022,0.0068000000000000005,0.0129,0.0116,-0.0025,0.005,0.043,0.00767
20141126,0.0095,0.0127,0,0.0011,-0.013600000000000001,-0.0223,0.0046,0.01,-0.005,-0.018600000000000002,-0.0021600000000000005
20141127,-0.009399999999999999,0.0021,0,0.0,-0.0034000000000000002,-0.0033,0.0023,0.0199,0.01,-0.0126,0.0005600000000000001
20141128,-0.0038,0.0313,0,0.03,0.0138,0.0049,0.016,0.017,0.0074,0.0064,0.012300000000000002
