,000422.SZ,000608.SZ,000635.SZ,000809.SZ,002386.SZ,600123.SH,600308.SH,600375.SH,600449.SH,600508.SH,portfolio_return
20151008,0.0447,0.0516,0.0484,0.037200000000000004,0.0322,0.031200000000000002,0.0321,0.053,0.0383,0.0348,0.040350000000000004
20151009,0.010700000000000001,-0.0192,0.049100000000000005,0.022400000000000003,0.0191,0.0275,0.0124,0.026699999999999998,0.0168,0.0178,0.018330000000000003
20151012,0.0408,0.037000000000000005,0.0393,0.0424,0.044199999999999996,0.0375,0.043,0.050499999999999996,0.0594,0.036000000000000004,0.04301000000000001
20151013,0.0015,-0.0021,-0.009899999999999999,0.030899999999999997,0.006500000000000001,-0.009000000000000001,0.0118,0,0.015600000000000001,-0.0103,0.0035000000000000005
20151014,-0.0174,-0.0252,-0.016399999999999998,-0.0177,-0.0049,-0.0143,-0.0252,0,-0.015300000000000001,-0.0218,-0.01582
20151015,0.0236,0.0323,0.0379,0.0277,0.026000000000000002,0.021099999999999997,0.0319,0,0.027999999999999997,0.031,0.02595
20151016,0.0216,0.0042,0.0070999999999999995,0.035,0.0079,0.0103,0.0058,0,0.0859,0.0113,0.018910000000000003
20151019,-0.0070999999999999995,0.0083,-0.0204,-0.023399999999999997,0.022000000000000002,0.023,-0.0096,0,-0.0363,-0.0167,-0.00602
20151020,0.0085,0.0062,0.0208,0.0101,0.0015,0.0,0.0097,0,0.0232,0.011399999999999999,0.00914
20151021,-0.0621,-0.0594,-0.0832,-0.10039999999999999,-0.08449999999999999,-0.0738,-0.0633,0,-0.1,-0.08039999999999999,-0.07071
20151022,0.0226,0.0392,0.029900000000000003,0.035699999999999996,0.0537,0.028399999999999998,0.030699999999999998,0,0.013600000000000001,0.0305,0.02843
20151023,0.054400000000000004,0.0692,0.1003,0.0431,0.0255,0.014499999999999999,0.0239,0,0.011399999999999999,0.0197,0.0362
20151026,0.0014000000000000002,0.0451,0.0537,0.0040999999999999995,0.07139999999999999,0.0078000000000000005,0.027200000000000002,0,0.0194,0.0068000000000000005,0.023690000000000003
20151027,0.0334,-0.0263,-0.0218,-0.0040999999999999995,-0.026099999999999998,-0.0077,-0.0076,0.10060000000000001,-0.0191,-0.013500000000000002,0.0007800000000000012
20151028,-0.035,-0.0308,-0.0223,0.0331,-0.037200000000000004,-0.013000000000000001,-0.026699999999999998,0.1007,-0.0174,-0.0146,-0.006319999999999999
20151029,0.011200000000000002,0.0159,0.0051,-0.004,0.017,0.0066,0.015700000000000002,-0.0253,0.026000000000000002,0.011899999999999999,0.008010000000000001
20151030,0.0028000000000000004,-0.0039000000000000003,-0.0034000000000000002,0.004,-0.0106,-0.0169,0.013500000000000002,-0.049400000000000006,-0.0233,-0.0166,-0.01038
