,000422.SZ,000608.SZ,000932.SZ,600123.SH,600308.SH,600449.SH,600508.SH,600782.SH,600971.SH,600997.SH,portfolio_return
20151102,-0.0275,0.029500000000000002,-0.020099999999999996,-0.0212,0.0038,-0.034300000000000004,-0.0199,-0.0353,-0.016200000000000003,-0.022099999999999998,-0.01633
20151103,-0.0014000000000000002,-0.026699999999999998,-0.0068000000000000005,0.0040999999999999995,-0.013300000000000001,-0.0011,0.0,-0.008100000000000001,0.005,-0.0038,-0.00521
20151104,0.0454,0.0412,0.0378,0.045899999999999996,0.0441,0.055999999999999994,0.0426,0.06559999999999999,0.0378,0.0415,0.04579
20151105,0.0109,-0.0113,0.0364,0.0194,0.0092,0.0408,0.022400000000000003,0.0173,0.0206,0.0181,0.018380000000000004
20151106,0.010700000000000001,0.013300000000000001,-0.0032,0.0127,0.016399999999999998,0.002,0.0086,0.0038,0.009300000000000001,0.0178,0.00914
20151109,0.0027,0.005600000000000001,0.016,0.0288,0.0287,0.09970000000000001,0.014199999999999999,0.0301,0.0277,0.0052,0.025869999999999994
20151110,0.0026,0.009300000000000001,0.0,0.0158,0.0192,0.024900000000000002,0.005600000000000001,0.04019999999999999,0.012,0.0383,0.01679
20151111,0.0053,0.009300000000000001,0.0126,-0.015600000000000001,-0.0137,0.09970000000000001,-0.005600000000000001,-0.006999999999999999,-0.0103,-0.011699999999999999,0.006299999999999999
20151112,-0.0092,-0.0092,-0.0218,-0.0158,-0.0173,-0.0394,-0.0121,-0.0319,-0.0104,-0.0085,-0.017560000000000003
20151113,-0.0212,-0.0333,-0.0223,-0.019799999999999998,-0.0212,-0.005699999999999999,-0.0141,0.0018,-0.0362,-0.0274,-0.019940000000000003
20151116,0.0163,0.0287,0.006500000000000001,0.016399999999999998,0.019799999999999998,-0.0116,0.0134,0.020099999999999996,0.0172,0.0123,0.013909999999999999
20151117,0.0013,-0.0149,-0.0032,-0.0025,-0.0070999999999999995,0.0276,-0.0019,-0.0161,0.0077,0.012199999999999999,0.00031000000000000005
20151118,-0.016,0.0113,-0.0032,-0.0075,-0.014199999999999999,-0.0171,-0.009399999999999999,0.0018,-0.0183,-0.0189,-0.00915
20151119,0.0271,0.022400000000000003,0.0326,0.01,0.016200000000000003,0.0017000000000000001,0.0105,0.0181,0.0264,0.015700000000000002,0.01807
20151120,0.0026,0.0475,-0.0032,-0.005,0.028399999999999998,-0.0033,0.0028000000000000004,-0.0018,-0.0045000000000000005,-0.0034000000000000002,0.006010000000000001
20151123,0.0013,0.0034999999999999996,-0.0095,-0.0075,0.0432,0.038900000000000004,-0.004699999999999999,0.035699999999999996,-0.0274,-0.0034999999999999996,0.007000000000000001
20151124,-0.0039000000000000003,0.0365,-0.0064,-0.0038,-0.0116,0.0327,-0.0066,-0.0121,-0.009399999999999999,0.0052,0.0020599999999999998
20151125,0.0053,-0.0034000000000000002,0.0064,0.005,-0.0017000000000000001,0.0,0.0105,0.0017000000000000001,0.0126,0.0086,0.0045
20151126,-0.0039000000000000003,-0.0101,0.0,0.0213,-0.0017000000000000001,0.0378,0.016,0.0,0.009399999999999999,0.0085,0.007730000000000001
20151127,-0.0645,-0.0867,-0.0447,-0.0687,-0.084,-0.09970000000000001,-0.07139999999999999,-0.0732,-0.0866,-0.0729,-0.07524000000000002
20151130,0.030899999999999997,0.0074,-0.01,-0.0066,-0.0055000000000000005,0.0066,-0.013999999999999999,-0.0075,-0.0118,-0.0128,-0.0023300000000000005
