,000488.SZ,000608.SZ,000698.SZ,000913.SZ,600215.SH,600308.SH,600356.SH,600508.SH,600963.SH,600966.SH,portfolio_return
20150105,0.021099999999999997,0.0356,0.0196,0.0148,0.025,0.0327,0.015,0.10039999999999999,0.013300000000000001,0.0187,0.029619999999999997
20150106,0.0159,-0.0248,0.0077,0.0227,-0.0087,0.0084,-0.0025,-0.0347,0.07490000000000001,0.0017000000000000001,0.006060000000000001
20150107,0.0516,0.0,0.0134,-0.0063,0.0176,0.0126,0.0062,0.0,0.0366,0.0017000000000000001,0.013340000000000003
20150108,-0.023799999999999998,-0.0254,-0.0132,-0.0048,-0.0087,-0.018600000000000002,0.0049,0.0084,0.0118,-0.005,-0.0074399999999999996
20150109,-0.024399999999999998,-0.004,-0.0172,-0.0032,-0.0087,-0.0253,-0.0159,-0.0174,-0.0316,0.0,-0.01477
20150112,-0.0452,-0.09880000000000001,-0.0253,-0.0209,-0.0387,-0.054000000000000006,-0.0199,-0.0338,-0.036000000000000004,-0.0134,-0.038599999999999995
20150113,0.006500000000000001,0.0022,0.006,0.0049,0.011000000000000001,0.0046,0.0076,0.0052,-0.0053,0.0102,0.00529
20150114,-0.016200000000000003,-0.015600000000000001,-0.011899999999999999,-0.008199999999999999,0.059800000000000006,-0.0159,-0.0189,-0.015600000000000001,0.0179,-0.0017000000000000001,-0.00263
20150115,0.039599999999999996,0.013600000000000001,0.012,0.0033,0.020499999999999997,0.0231,0.0103,0.018500000000000003,0.0351,0.0017000000000000001,0.01777
20150116,0.0302,0.0,0.0079,0.0181,-0.0168,0.009000000000000001,0.0,0.0121,-0.0034000000000000002,0.0,0.005710000000000001
20150119,-0.0663,-0.0559,-0.0512,-0.028999999999999998,-0.0443,-0.0783,-0.0254,-0.0993,-0.046,-0.0252,-0.05209
20150120,0.0677,0.019,0.024900000000000002,0.0282,0.030299999999999997,0.0388,0.0365,0.0171,0.0875,0.0172,0.036719999999999996
20150121,0.038599999999999995,0.0279,0.0223,0.0646,0.0277,0.023399999999999997,0.028900000000000002,0.0308,0.008199999999999999,0.0321,0.030450000000000005
20150122,0.0149,0.0113,0.0059,0.0137,0.030299999999999997,0.0091,0.0086,0.0091,0.006500000000000001,0.0197,0.01291
20150123,-0.0264,0.0022,0.0079,-0.0254,0.034300000000000004,-0.0113,0.0073,-0.016200000000000003,0.030699999999999998,0.0338,0.0036900000000000006
20150126,0.0437,0.0134,0.0137,0.030699999999999998,-0.0111,0.016,0.051699999999999996,0.024700000000000003,0.018799999999999997,0.0467,0.02483
20150127,0.0159,0.0022,0.0058,-0.016399999999999998,0.0,0.0023,-0.0046,-0.0062,-0.029300000000000003,-0.0089,-0.00392
20150128,-0.0213,-0.0044,-0.0115,-0.0076,-0.0304,0.0225,-0.0069,-0.0072,-0.0032,0.0705,5.000000000000005e-05
20150129,-0.0189,-0.0066,0.0,0.0015,-0.0066,-0.011000000000000001,0.016200000000000003,0.0018,-0.0143,0.047599999999999996,0.0009699999999999994
20150130,-0.0148,0.0022,0.0058,-0.019799999999999998,0.0017000000000000001,-0.0222,-0.0273,-0.009000000000000001,-0.0113,-0.012,-0.01067
