,000932.SZ,600215.SH,600219.SH,600227.SH,600231.SH,600269.SH,600308.SH,600569.SH,600808.SH,600963.SH,portfolio_return
20140505,0.011899999999999999,0.0052,-0.002,0.0113,-0.0036,0.0,0.0076,0.0407,0.006500000000000001,0.006999999999999999,0.00846
20140506,0.0118,-0.0026,0.0103,0.0075,0.0073,-0.0036,0.0,0.005600000000000001,0.0064,-0.0034999999999999996,0.00392
20140507,-0.0174,-0.023399999999999997,-0.008100000000000001,-0.0297,-0.0217,0.0,-0.0075,0.0,-0.0127,-0.0139,-0.013440000000000002
20140508,0.0,0.010700000000000001,0.0021,0.0115,0.0,0.0,0.0,-0.005600000000000001,0.0,0.0034999999999999996,0.00222
20140509,0.0,-0.0026,0.0042,0.0,-0.0037,0.0,0.011399999999999999,-0.005600000000000001,-0.006500000000000001,0.0034999999999999996,6.999999999999975e-05
20140512,0.0355,0.0159,0.0462,0.0227,0.0409,0.0182,0.0226,0.0337,0.0325,0.027999999999999997,0.029620000000000004
20140513,-0.005699999999999999,0.0026,-0.004,-0.0037,-0.0070999999999999995,0.0036,-0.0037,-0.0163,-0.0126,0.0,-0.00469
20140514,0.0,0.0026,-0.006,0.011200000000000002,0.0,-0.0036,0.0,0.022099999999999998,0.0,0.0,0.0026300000000000004
20140515,-0.0115,-0.0233,-0.0183,-0.0184,-0.0144,-0.0143,-0.0258,-0.016200000000000003,0.0,-0.027200000000000002,-0.016939999999999997
20140516,0.0,0.0053,0.0,0.0,0.0,0.0109,0.011399999999999999,-0.0055000000000000005,0.0,0.006999999999999999,0.00291
20140519,-0.0058,0.0053,-0.0062,-0.0075,-0.0109,-0.0072,-0.0075,0.0166,0.0,0.0069,-0.0016299999999999995
20140520,0.0,-0.0052,0.0021,0.0,0.0,0.0072,0.0038,0.0,0.0,-0.0034000000000000002,0.0004499999999999999
20140521,0.0058,0.0026,0.0083,0.0075,0.0037,0.0,0.015,0.0,-0.0064,-0.0034999999999999996,0.0033000000000000004
20140522,0.0116,0.0053,-0.0062,-0.0037,-0.0037,-0.0036,-0.0037,0.0054,0.0,-0.0034999999999999996,-0.00021000000000000023
20140523,0.005699999999999999,0.0079,0.018600000000000002,0.0038,0.0074,0.0072,0.0,0.027000000000000003,0.0,0.006999999999999999,0.00846
20140526,0.0,0.0078000000000000005,0.0040999999999999995,0.0037,0.0,0.0,0.0074,0.0,0.0064,0.0104,0.00398
20140527,-0.005699999999999999,-0.0052,-0.008100000000000001,-0.0037,-0.0037,0.0,-0.0074,-0.0158,-0.0064,-0.0068000000000000005,-0.006280000000000003
20140528,0.0,0.0026,0.008199999999999999,0.0037,0.0037,0.0072,0.0037,-0.010700000000000001,0.0,0.0,0.00184
20140529,-0.005699999999999999,-0.0103,-0.0182,-0.0037,-0.011000000000000001,-0.0070999999999999995,-0.0111,0.0054,-0.0064,-0.0138,-0.008190000000000001
20140530,0.0,0.0026,0.008199999999999999,0.0,0.0111,-0.0072,0.0037,0.0,0.006500000000000001,0.0,0.00249
