,000422.SZ,000635.SZ,002386.SZ,600123.SH,600308.SH,600375.SH,600508.SH,600782.SH,600971.SH,600997.SH,portfolio_return
20150901,-0.0103,-0.057800000000000004,-0.0632,0.006999999999999999,-0.0319,-0.0839,0.0166,0.1,-0.0226,-0.0172,-0.01633
20150902,-0.053399999999999996,-0.0229,-0.016399999999999998,-0.0333,-0.0227,-0.0311,-0.0581,-0.0965,-0.0462,-0.031200000000000002,-0.04118000000000001
20150907,0.037599999999999995,0.0245,0.0278,0.0187,0.0169,0.051699999999999996,0.011899999999999999,0.0,0.0149,0.0101,0.02141
20150908,0.0393,0.055099999999999996,0.052300000000000006,0.038,0.0415,0.0814,0.0364,0.0472,0.0404,0.0398,0.04714
20150909,0.0262,0.0453,0.0274,0.0366,0.0339,0.037599999999999995,0.0392,0.0529,0.037000000000000005,0.0632,0.03993
20150910,-0.031200000000000002,-0.0377,0.0067,-0.038,-0.019299999999999998,-0.0438,-0.0358,-0.0074,-0.011899999999999999,-0.0432,-0.026160000000000003
20150911,0.0044,0.0088,-0.005,-0.0027,0.0118,0.0158,0.023700000000000002,-0.0206,-0.0052,0.009399999999999999,0.004040000000000001
20150914,-0.0888,-0.08929999999999999,-0.0967,-0.0805,-0.0874,-0.09949999999999999,-0.0946,-0.0977,-0.0588,-0.0858,-0.08791
20150915,-0.0176,-0.0405,-0.031400000000000004,-0.0163,-0.0489,-0.076,-0.024399999999999998,-0.0913,-0.011000000000000001,-0.0327,-0.03901
20150916,0.0862,0.0989,0.0857,0.08900000000000001,0.085,0.1009,0.08310000000000001,0.1005,0.0929,0.0907,0.09129000000000001
20150917,-0.0359,-0.024300000000000002,-0.0351,-0.0166,-0.0392,-0.0102,-0.0273,-0.0297,-0.0391,-0.0271,-0.028450000000000003
20150918,0.0,0.0,0.016399999999999998,0.0028000000000000004,0.0064,0.036000000000000004,0.0022,0.0088,-0.0070999999999999995,0.004,0.006950000000000001
20150921,0.0217,0.0435,0.0429,0.0337,0.0256,0.0414,0.1003,0.0152,0.0321,0.0337,0.03901000000000001
20150922,0.0137,0.002,0.0069,0.0149,0.0083,0.0064,0.1,0.010700000000000001,0.0104,0.023,0.019629999999999998
20150923,-0.033,0.009899999999999999,-0.022099999999999998,-0.0388,-0.0227,-0.0395,-0.07400000000000001,-0.04019999999999999,-0.042699999999999995,-0.0506,-0.035370000000000006
20150924,0.0124,0.0039000000000000003,0.0087,0.0195,0.0105,0.0263,-0.0087,0.019799999999999998,0.1,0.10060000000000001,0.029300000000000007
20150925,-0.0291,-0.0313,-0.0276,-0.0191,-0.0355,-0.0304,-0.0282,-0.0173,0.10060000000000001,0.10039999999999999,-0.001750000000000003
20150928,0.0095,0.0121,0.0124,0.0084,0.0173,0.019799999999999998,0.022000000000000002,0.08130000000000001,0.022099999999999998,-0.008100000000000001,0.019680000000000003
20150929,-0.026600000000000002,-0.0329,-0.0368,-0.0331,-0.0085,-0.024300000000000002,-0.046900000000000004,0.0325,-0.09960000000000001,-0.1002,-0.03764000000000001
20150930,0.0048,0.001,0.0182,0.0070999999999999995,0.0021,0.0033,0.001,0.0728,0.0,0.047400000000000005,0.015770000000000003
