ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,total_share,float_share,free_share,total_mv,circ_mv
002111.SZ,20100430,19.3,3.2451,4.591,,55.3064,57.6325,6.4261,7.1324,7.4364,14399.0,5242.249,3705.4415,277900.7,101175.4057
002112.SZ,20100430,12.65,2.105,3.0006,,35.5932,34.009,3.2049,1.3004,1.3246,11200.0,10173.2785,7136.9585,141680.0,128691.973
002113.SZ,20100430,10.69,1.0239,1.8434,,,,3.783,3.5379,3.8098,11840.0,11482.4031,6377.9301,126569.6,122746.8891
002114.SZ,20100430,21.0,1.2942,2.9504,,486.4605,,8.3611,3.3954,3.449,18385.2,18385.2,8064.64,386089.2,386089.2
000910.SZ,20100430,8.7,0.952,1.8187,,22.3208,21.8725,2.2696,0.7141,0.6935,52750.0,52750.0,27613.28,458925.0,458925.0
000911.SZ,20100430,17.28,1.3395,2.5619,,40.6404,20.0292,3.5335,1.4024,1.3322,28664.0,28664.0,14987.12,495313.92,495313.92
000912.SZ,20100430,8.83,1.9834,2.2273,,46.5362,151.1068,2.0744,1.0883,1.3686,58500.0,26715.0,23790.0,516555.0,235893.45
000913.SZ,20100430,8.9,1.4295,3.6341,,34.0661,29.4872,2.9145,1.1096,1.0734,45353.6,45343.5779,17836.3779,403647.04,403557.8433
000915.SZ,20100430,12.89,2.4207,3.1632,,67.5152,63.456,6.5126,4.6526,4.7145,18025.4989,17920.8129,13714.172,232348.6808,230999.2783
000916.SZ,20100430,5.15,1.17,1.2771,,19.3663,19.2831,1.456,6.8715,6.555,109000.0,41137.3683,37687.3748,561350.0,211857.4467
000917.SZ,20100430,20.26,3.5009,3.5009,,279.8056,301.1274,3.9557,1.972,1.7005,40637.8405,31873.5334,31873.5334,823322.6485,645757.7867
000918.SZ,20100430,9.14,1.4225,1.4225,,13.7777,12.0791,5.4012,2.2426,1.9592,180419.15,14400.0,14400.0,1649031.031,131616.0
000919.SZ,20100430,12.04,2.7935,3.3388,,27.463,30.5346,3.2357,3.0854,3.1339,50400.0,23214.49,19422.9375,606816.0,279502.4596
000920.SZ,20100430,8.74,2.6639,4.6441,,109.7632,60.024,3.8476,3.6642,3.4158,42200.0,42200.0,24206.0,368828.0,368828.0
000921.SZ,20100430,7.67,1.0454,1.3627,,50.6577,40.0606,,0.8127,0.7329,99200.6563,29804.0833,22864.3033,760869.0338,228597.3189
601117.SH,20100430,4.61,1.5431,1.5431,,23.2251,23.2251,1.9774,0.8106,0.8106,493300.0,123300.0,123300.0,2274113.0,568413.0
601139.SH,20100430,12.4,6.1312,6.1312,,56.6342,55.369,6.0361,3.947,3.4692,123000.0,13000.0,13000.0,1525200.0,161200.0
601158.SH,20100430,10.53,5.6093,5.6093,,49.8395,52.4217,4.9053,18.5185,17.8763,480000.0,27500.0,27500.0,5054400.0,289575.0
600739.SH,20100430,31.27,2.8633,3.3434,,21.0254,21.4085,4.1702,7.0162,6.9314,90185.2544,90185.2544,77232.9114,2820092.9051,2820092.9051
600740.SH,20100430,7.05,3.3804,4.1874,,,,4.278,1.3767,1.0151,56570.0,45683.2758,36878.7267,398818.5,322067.0944
600741.SH,20100430,9.51,1.1712,1.6732,,16.0474,12.8492,1.8994,0.9959,0.7425,258320.0175,147256.2438,103075.1904,2456623.3664,1400406.8785
600742.SH,20100430,21.77,0.7894,1.1099,,12.9811,10.774,2.6332,1.2915,1.0879,21152.34,21152.34,15044.3512,460486.4418,460486.4418
600743.SH,20100430,7.78,5.5882,5.5882,,21.976,20.7554,4.3532,6.5247,6.0452,97266.1408,22005.0,22005.0,756730.5754,171198.9
600744.SH,20100430,4.93,1.2959,1.2959,,65.0201,19.0614,1.7125,0.6322,0.5157,71164.8,47438.4523,47438.4523,350842.464,233871.5698
600797.SH,20100430,7.51,3.5625,4.3897,,177.3537,152.7031,3.8185,1.2578,1.2526,81304.3495,81304.3495,65984.7436,610595.6647,610595.6647
600798.SH,20100430,5.34,1.3715,1.9366,,156.609,141.7411,2.4619,5.1947,4.8518,87114.57,54918.75,38893.0963,465191.8038,293266.125
600800.SH,20100430,6.3,3.3106,3.554,,,,27.6638,20.9649,20.241,61127.1047,44635.3347,41578.9795,385100.7596,281202.6086
600801.SH,20100430,18.94,3.153,3.5932,,15.2729,14.719,1.6745,1.1068,1.105,40360.0,9703.6949,8514.9352,764418.4,183787.9814
600802.SH,20100430,7.1,1.2991,2.051,,,,2.0108,2.3593,2.3055,38187.3666,38187.3666,24186.9626,271130.3029,271130.3029
002310.SZ,20100430,138.0,3.068,3.068,,123.8101,120.2666,9.7921,17.749,17.3662,7512.195,2175.0,2175.0,1036682.91,300150.0
002311.SZ,20100430,31.79,2.9629,2.9629,,45.8959,44.9945,3.4988,1.3563,1.3047,22400.0,5600.0,5600.0,712096.0,178024.0
