ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,total_share,float_share,free_share,total_mv,circ_mv
002352.SZ,20131031,18.71,4.1802,5.5818,,30.4741,30.0873,1.9637,1.7473,1.8983,7783.078,3451.6039,2584.877,145621.3894,64579.509
002497.SZ,20131031,8.96,0.8258,0.8258,,20.4807,20.4449,2.1315,3.9119,3.6956,48000.0,12000.0,12000.0,430080.0,107520.0
600260.SH,20131031,7.58,1.479,1.904,,21.1023,37.0862,2.2123,1.6103,1.8736,52764.0,52764.0,40986.1001,399951.12,399951.12
000711.SZ,20131031,6.09,0.7508,1.0234,,445.6628,,2.698,15.9941,16.6029,16089.84,16089.84,11804.34,97987.1256,97987.1256
002073.SZ,20131031,8.01,1.2798,1.3593,,28.6958,38.04,1.8409,3.6738,2.664,74236.5,61850.5253,58232.3881,594634.365,495422.7077
300252.SZ,20131031,17.77,2.6885,2.829,,90.5987,106.7596,4.2318,4.6639,4.631,16434.4996,5745.3019,5460.0458,292041.0579,102094.0148
600297.SH,20131031,5.8,0.5217,1.0102,,43.8217,66.7312,2.1913,2.6721,4.6778,35000.0,35000.0,18073.4986,203000.0,203000.0
002186.SZ,20131031,17.56,0.4193,0.8892,,32.6961,37.1509,5.4058,2.5578,2.6283,28312.0,28009.8776,13209.2002,497158.72,491853.4507
600600.SH,20131031,45.49,0.4632,1.1331,,34.9409,27.4217,4.3213,2.3837,2.1809,135098.2795,69591.3617,28451.3567,6145620.7345,3165711.0437
600354.SH,20131031,6.07,1.7495,2.2539,,,,3.2134,1.3767,1.5718,44780.208,43680.208,33906.3036,271815.8626,265138.8626
000568.SZ,20131031,20.04,0.7851,1.686,,6.3997,6.7923,2.8223,2.4312,2.4007,140200.6476,140019.2976,65202.1584,2809620.9779,2805986.7239
600660.SH,20131031,8.41,0.3603,0.5457,,11.0476,9.8861,2.317,1.6438,1.5119,200298.6332,200298.6332,132240.7516,1684511.5052,1684511.5052
300191.SZ,20131031,22.1,27.8149,27.8149,,84.3491,78.9857,6.0608,49.1062,46.6811,32000.0,9176.0,9176.0,707200.0,202789.6
000815.SZ,20131031,4.69,0.598,0.8194,,59.9505,,2.6671,1.0903,1.404,31680.0,31557.9922,23032.1412,148579.2,148006.9834
600016.SH,20131031,8.96,0.6944,0.7578,,6.7663,6.0418,1.3387,2.4649,2.281,2836617.5753,2258819.2913,2069629.915,25416093.4747,20239020.85
300162.SZ,20131031,12.3,2.8752,2.8752,,72.7712,135.855,2.2446,5.2101,5.3215,13400.0,3415.0,3415.0,164820.0,42004.5
