ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,total_share,float_share,free_share,total_mv,circ_mv
002011.SZ,20100730,18.32,2.5015,2.6234,,42.5343,40.7418,3.6608,2.9897,2.6287,37236.373,9730.4296,9277.9969,682170.3534,178261.4703
002012.SZ,20100730,13.22,9.3828,11.8959,,42.1844,26.5617,5.9943,4.5241,3.6256,19478.9298,19478.9298,15363.8695,257511.452,257511.452
002013.SZ,20100730,13.16,2.6893,3.2178,,71.901,65.4895,4.9008,5.1028,4.2529,16707.6,12386.6899,10352.556,219872.016,163008.8391
002014.SZ,20100730,18.16,0.4444,0.8832,,25.391,24.0907,3.7688,2.4243,2.3342,14078.4,13909.1707,6998.5634,255663.744,252590.5399
002015.SZ,20100730,9.53,3.0888,3.0888,,127.575,110.6413,3.8317,1.5683,1.3831,20108.8,14592.5977,14592.5977,191636.864,139067.4561
002016.SZ,20100730,8.96,6.1147,6.1147,,57.0586,57.1068,5.451,7.2478,6.8619,46149.688,11575.2637,11575.2637,413501.2045,103714.3628
002017.SZ,20100730,16.75,2.2651,4.7891,,105.9713,104.3332,5.1105,4.3512,4.2903,19856.2504,19627.4478,9283.2145,332592.1942,328759.7507
002018.SZ,20100730,8.75,20.9823,26.5175,,522.4096,862.1702,3.5738,2.9547,2.7641,29385.72,24766.4634,19596.8107,257125.05,216706.5548
300012.SZ,20100730,23.97,3.8368,3.8368,,51.9896,53.4898,4.4297,11.1503,10.6631,12265.5,3150.0,3150.0,294004.035,75505.5
300013.SZ,20100730,16.35,8.4843,8.4843,,55.8314,57.7202,4.8001,8.1284,7.5211,9000.0,2250.0,2250.0,147150.0,36787.5
300014.SZ,20100730,29.5,8.7159,8.7159,,97.4644,92.8206,7.3396,18.9481,18.7404,13200.0,3300.0,3300.0,389400.0,97350.0
300015.SZ,20100730,42.99,5.7239,5.7239,,124.1043,112.7316,9.6615,18.9271,17.5053,26700.0,6700.0,6700.0,1147833.0,288033.0
300016.SZ,20100730,19.1,3.9076,3.9076,,55.7896,48.0681,4.3468,8.971,9.34,10183.2736,2550.0,2550.0,194500.5258,48705.0
300017.SZ,20100730,19.7,8.7307,8.7307,,78.196,93.6612,4.2529,10.5849,10.2721,15421.4286,3910.0,3910.0,303802.1434,77027.0
300018.SZ,20100730,27.1,12.6246,12.6246,,60.7464,55.9837,5.663,22.4502,21.9126,13000.0,3270.0,3270.0,352300.0,88617.0
300019.SZ,20100730,21.87,10.8777,10.8777,,63.0292,61.7285,5.8485,13.1514,12.8754,10200.0,2600.0,2600.0,223074.0,56862.0
300020.SZ,20100730,23.13,5.7096,5.7096,,74.8021,67.2072,6.3679,7.0543,6.269,16000.0,4000.0,4000.0,370080.0,92520.0
300021.SZ,20100730,18.56,3.8102,3.8102,,103.6498,103.3664,6.7279,9.5932,9.5406,13930.0,3600.0,3600.0,258540.8,66816.0
300022.SZ,20100730,34.01,7.0524,7.0524,,120.9842,118.5074,11.7441,3.7905,3.7238,17870.0,4480.0,4480.0,607758.7,152364.8
300023.SZ,20100730,17.68,6.5969,6.5969,,59.3005,72.5661,4.8368,13.612,16.8482,9000.0,2250.0,2250.0,159120.0,39780.0
300024.SZ,20100730,38.23,6.7637,6.7637,,78.1802,70.1228,5.3657,11.0879,10.7125,13530.0,3410.0,3410.0,517251.9,130364.3
300025.SZ,20100730,28.34,7.823,7.823,,85.9703,70.2297,8.793,14.5688,13.6222,8000.0,2000.0,2000.0,226720.0,56680.0
002313.SZ,20100730,37.28,4.9397,4.9397,,51.3909,44.2185,4.3304,5.4426,4.8976,10000.0,2500.0,2500.0,372800.0,93200.0
002314.SZ,20100730,19.78,8.0247,8.0247,,45.0771,42.0018,3.0957,2.9943,2.786,29000.0,7364.1,7364.1,573620.0,145661.898
002315.SZ,20100730,72.98,2.283,2.283,,94.1534,75.746,5.8833,37.291,31.8481,11750.0,2938.0,2938.0,857515.0,214415.24
002316.SZ,20100730,19.13,5.1392,5.1392,,70.2479,68.0905,3.9077,17.2672,15.386,15600.0,3900.0,3900.0,298428.0,74607.0
002317.SZ,20100730,38.92,2.5521,2.5521,,46.5389,43.6397,3.6558,8.467,8.1562,12000.0,3000.0,3000.0,467040.0,116760.0
002318.SZ,20100730,21.4,3.6574,3.6574,,46.6457,55.8305,3.3067,2.8117,2.7108,20800.0,5200.0,5200.0,445120.0,111280.0
002319.SZ,20100730,25.57,8.244,8.244,,66.3515,65.5524,5.2587,7.7092,6.9649,10000.0,2500.0,2500.0,255700.0,63925.0
002320.SZ,20100730,38.0,7.3193,7.3193,,56.7739,54.6748,4.7133,16.1702,15.404,20475.0,5135.0,5135.0,778050.0,195130.0
002321.SZ,20100730,19.45,8.6347,8.6347,,71.0013,68.7696,3.1534,3.0665,2.6627,14700.0,3700.0,3700.0,285915.0,71965.0
002322.SZ,20100730,86.87,0.7438,0.7438,,76.1415,84.8599,7.0498,46.1826,51.6305,6670.0,1670.0,1670.0,579422.9,145072.9
002342.SZ,20100730,16.02,2.7291,2.7291,,40.1732,39.6468,3.7404,5.7549,5.6915,48000.0,6000.0,6000.0,768960.0,96120.0
002343.SZ,20100730,30.4,4.0479,4.0479,,34.5494,33.6156,2.8454,2.7289,2.3569,9906.0,2500.0,2500.0,301142.4,76000.0
002344.SZ,20100730,36.2,1.5335,1.5335,,104.1085,61.0498,5.2697,18.111,11.9391,28000.0,7000.0,7000.0,1013600.0,253400.0
002345.SZ,20100730,35.3,4.0044,4.0044,,75.1669,67.7456,5.0835,11.1756,9.9909,18000.0,4500.0,4500.0,635400.0,158850.0
