ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,total_share,float_share,free_share,total_mv,circ_mv
000070.SZ,20171130,10.16,0.641,1.2063,,32.537,26.1988,3.3744,1.3811,1.247,62699.4746,54185.094,28791.5648,637026.6619,550520.555
300566.SZ,20171130,38.35,2.2352,4.2677,,80.5042,79.2792,6.5548,7.8021,7.0699,12438.3,6794.0921,3558.375,477008.805,260553.432
600892.SH,20171130,10.67,0.3606,0.5361,,39.0972,32.6794,3.3851,16.7693,15.7398,55946.4188,25159.7532,16921.1516,596948.2886,268454.5666
002290.SZ,20171130,14.04,0.3724,0.5827,,121.85,76.585,2.728,3.2444,2.5249,24271.233,16421.0024,10496.7049,340768.1113,230550.8737
002803.SZ,20171130,43.23,0.5935,0.8806,,116.631,97.1022,10.8718,8.7992,5.8756,11600.0,4600.0,3100.0,501468.0,198858.0
603077.SH,20171130,2.11,0.5409,1.0059,,58.6322,39.0981,1.736,5.3816,4.2354,883125.0228,883125.0228,474858.5615,1863393.7981,1863393.7981
002826.SZ,20171130,16.55,1.7735,1.7735,,56.7188,58.9172,5.4363,6.9478,7.7431,18972.0,4743.0,4743.0,313986.6,78496.65
002027.SZ,20171130,12.0,0.5815,0.8627,,32.975,28.1148,17.6925,14.3716,12.8747,1223156.69,580381.7233,391219.2179,14677880.28,6964580.6796
002121.SZ,20171130,9.22,1.1095,1.3422,,47.7464,27.4491,2.7653,4.1043,3.3023,140751.1773,70398.3781,58192.9556,1297725.8547,649073.0461
002069.SZ,20171130,7.93,0.2134,0.3984,,70.8491,44.9558,4.9127,1.8476,1.7651,71111.2194,68654.1694,36778.0449,563911.9698,544427.5633
300099.SZ,20171130,6.48,0.7418,1.0061,,143.0664,73.842,2.6534,18.5771,14.108,66039.9255,35581.7221,26234.3224,427938.7172,230569.5592
002873.SZ,20171130,43.84,3.2834,3.2834,,52.9127,44.793,4.8838,4.7691,4.4427,6888.0,1722.0,1722.0,301969.92,75492.48
002310.SZ,20171130,20.38,1.2726,1.6189,,42.1747,33.2168,5.4702,6.3804,4.4836,268115.528,162203.8009,127502.6193,5464194.4606,3305713.4623
300415.SZ,20171130,15.95,1.2419,2.5014,,63.3035,28.7321,6.8806,4.776,3.6582,43200.0,28620.0,14208.756,689040.0,456489.0
002569.SZ,20171130,47.39,0.2815,0.403,,1005.381,562.027,13.2047,17.9527,17.2427,14001.0,13864.635,9684.635,663507.39,657045.0527
600802.SH,20171130,7.98,5.0482,7.6538,,220.6144,437.4724,4.4424,2.3028,1.804,38187.3666,38187.3666,25186.9626,304735.1855,304735.1855
002330.SZ,20171130,8.88,0.7686,2.8115,,493.5703,,3.3705,2.8293,2.9994,50200.0,50194.39,13722.39,445776.0,445726.1832
603599.SH,20171130,17.5,1.1686,1.1686,,36.3737,20.4789,2.463,4.3859,2.998,37648.0,13648.0,13648.0,658840.0,238840.0
002810.SZ,20171130,22.18,1.6949,1.6949,,43.9877,43.3655,3.1901,3.7173,3.3751,9556.0,5116.0143,5116.0143,211952.08,113473.1972
300090.SZ,20171130,9.24,1.5497,1.7264,,102.4203,,2.3361,7.7566,7.4427,131995.2922,87717.0648,78739.3768,1219636.4999,810505.6788
000613.SZ,20171130,8.19,0.3835,0.5264,,,,40.0172,137.3622,112.9555,36410.0,26564.4313,19355.2533,298197.9,217562.6923
300697.SZ,20171130,24.43,11.2335,11.2335,,71.2574,59.3296,5.5962,3.6902,3.0401,16000.0,4000.0,4000.0,390880.0,97720.0
603606.SH,20171130,11.68,0.3524,0.7905,,70.0462,58.7606,4.1437,2.0855,1.6508,31097.0,31097.0,13863.01,363212.96,363212.96
002140.SZ,20171130,11.25,1.5233,3.7363,,61.3432,51.3192,2.3726,2.9994,2.4128,44603.4534,43985.3162,17932.974,501788.8508,494834.8073
002200.SZ,20171130,13.15,1.7391,1.7407,,72.4181,,2.9836,2.398,2.3788,18413.289,10782.9069,10772.9069,242134.7504,141795.2257
002068.SZ,20171130,11.26,5.1002,9.0433,,86.9689,19.6253,2.7154,1.8686,1.359,72706.3596,60695.8971,34231.3868,818673.6091,683435.8013
002236.SZ,20171130,24.34,1.0154,1.1619,,38.6564,32.0688,7.403,5.2934,4.13,289875.613,170189.1379,148736.5869,7055572.4204,4142403.6165
300254.SZ,20171130,10.93,0.565,0.603,,75.5217,90.8667,2.7693,3.0517,2.5551,20830.8,15106.2868,14152.4874,227680.644,165111.7147
002435.SZ,20171130,18.0,0.6785,1.0156,,55.1614,22.9097,1.6957,4.1768,2.6402,49077.6795,18373.0011,12274.2144,883398.231,330714.0198
601088.SH,20171130,23.8,0.2537,2.1343,,20.8424,11.5305,1.6198,2.5849,1.9654,1988962.0455,1649103.7955,196046.3503,47337296.6829,39248670.3329
600860.SH,20171130,6.95,0.2984,0.69,,,,5.9102,3.2972,2.8296,42200.0,32200.0,13926.4948,293290.0,223790.0
600765.SH,20171130,12.37,0.5064,0.871,,39.6922,32.4485,2.6356,1.7926,1.7519,77800.32,77800.32,45233.8,962389.9584,962389.9584
600729.SH,20171130,24.55,0.8412,1.5311,,23.8357,19.009,2.0267,0.2949,0.3058,40652.8465,40642.6465,22329.3341,998027.3816,997776.9716
300467.SZ,20171130,46.0,2.8035,3.4943,,195.8782,142.0028,14.0143,48.4912,41.8357,16656.076,9964.8379,7994.6426,766179.496,458382.5434
002529.SZ,20171130,16.38,0.7261,1.2745,,,,2.6741,20.7531,16.6614,26000.0,20000.0,11394.29,425880.0,327600.0
000829.SZ,20171130,9.24,0.2613,0.4678,,39.6732,45.8332,3.9117,0.2619,0.242,95931.3496,95007.7151,53069.1913,886405.6703,877871.2875
002585.SZ,20171130,6.82,0.3224,0.4532,,59.2817,53.1891,1.0619,3.0892,2.8425,115627.8085,69546.4178,49476.4935,788581.654,474306.5694
002831.SZ,20171130,63.6,0.8025,0.8025,,29.0811,27.2124,5.4244,4.5902,3.9295,40001.0,4001.0,4001.0,2544063.6,254463.6
600401.SH,20171130,1.16,0.509,0.545,,,,1.9099,1.2128,1.7475,472493.5152,472493.5152,441255.213,548092.4776,548092.4776
600891.SH,20171130,7.8,0.1994,0.2393,,23.4512,42.7827,1.6115,0.7576,0.6071,61758.5803,38405.5051,32006.7225,481716.9263,299562.9398
002463.SZ,20171130,5.3,1.5184,2.3186,,67.9901,38.9696,2.577,2.341,2.0237,167415.9763,167347.0123,109590.452,887304.6744,886939.1652
603959.SH,20171130,28.74,1.644,2.6255,,60.4875,57.2502,7.088,8.3676,7.4133,22400.0,10640.0,6662.4289,643776.0,305793.6
