ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,total_share,float_share,free_share,total_mv,circ_mv
300190.SZ,20171229,11.97,0.4346,0.7992,,58.3682,40.8658,1.513,6.9994,5.0885,45228.4906,39631.1142,21549.3222,541385.0325,474384.437
603908.SH,20171229,36.0,3.2888,3.2888,,50.558,42.6895,5.3688,5.5736,4.8074,6669.0,1669.0,1669.0,240084.0,60084.0
002199.SZ,20171229,15.35,0.7649,0.9205,,230.7155,37.5343,8.2416,14.5308,16.1133,24344.2363,22063.795,18334.6867,373684.0272,338679.2533
000070.SZ,20171229,9.34,0.5047,0.9498,,29.911,24.0843,3.1021,1.2696,1.1464,62699.4746,54185.094,28791.5648,585613.0928,506088.778
300566.SZ,20171229,37.3,1.994,3.6787,,78.3001,77.1086,6.3753,7.5885,6.8763,12438.3,6794.0921,3682.755,463948.59,253419.6353
600892.SH,20171229,9.37,0.4443,0.6455,,34.3337,28.6979,2.9727,14.7262,13.8221,55946.4188,25159.7532,17316.0716,524217.9442,235746.8875
002290.SZ,20171229,13.0,0.4189,0.6554,,112.8241,70.9121,2.5259,3.0041,2.3379,24271.233,16421.0024,10496.7049,315526.029,213473.0312
002803.SZ,20171229,45.19,1.332,1.9765,,121.9189,101.5047,11.3647,9.1981,6.142,11600.0,4600.0,3100.0,524204.0,207874.0
603077.SH,20171229,2.0,0.3045,0.5664,,55.5755,37.0598,1.6455,5.101,4.0146,883125.0228,883125.0228,474858.5615,1766250.0456,1766250.0456
002826.SZ,20171229,14.86,0.6331,0.8716,,50.927,52.9009,4.8812,6.2383,6.9524,18972.0,9922.7872,7207.4681,281923.92,147452.6178
002027.SZ,20171229,14.08,0.7594,1.1265,,38.6907,32.988,20.7593,16.8626,15.1063,1223156.69,580381.7233,391219.2179,17222046.1952,8171774.6641
002121.SZ,20171229,8.95,0.4816,0.5826,,46.3482,26.6452,2.6843,3.9841,3.2056,140751.1773,70398.3781,58192.9556,1259723.0368,630065.484
