ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,total_share,float_share,free_share,total_mv,circ_mv
600022.SH,20060428,4.21,2.8752,3.7378,,4.7761,7.4151,0.9735,0.1648,0.1676,94000.0,28600.0,22000.0,395740.0,120406.0
600054.SH,20060428,9.15,9.9892,9.9892,,40.2744,36.1078,3.8912,4.0222,3.9038,30290.0,6708.0,6708.0,277153.5,61378.2
600168.SH,20060428,3.11,3.0907,4.0798,,30.149,28.2005,0.9879,8.026,8.0904,44115.0,16830.0,12750.0,137197.65,52341.3
600272.SH,20060428,2.89,1.1228,1.1228,,137.0749,137.0749,5.2031,0.8424,0.8424,24300.0,6000.0,6000.0,70227.0,17340.0
600503.SH,20060428,2.83,3.178,3.178,,88.1775,36.2825,2.9201,2.3008,1.8466,11000.0,4000.0,4000.0,31130.0,11320.0
600562.SH,20060428,4.02,1.9736,2.6644,,23.6105,25.0366,0.9767,1.4921,1.785,8408.9294,4232.5513,3135.2232,33803.8962,17014.8562
600316.SH,20060428,17.49,8.1479,8.1479,,76.2855,82.8561,3.6527,7.0603,7.4091,25200.0,10800.0,10800.0,440748.0,188892.0
600462.SH,20060428,3.0,1.9963,1.9963,,,,0.9656,0.7235,0.9949,17030.0,5000.0,5000.0,51090.0,15000.0
600608.SH,20060428,2.94,2.5288,2.5288,,,,1.8707,0.7863,0.7568,25252.4332,16963.8021,16963.8021,74242.1536,49873.5782
600686.SH,20060428,9.37,2.5479,3.3123,,14.2112,13.0719,2.5642,0.184,0.1683,15151.7592,7488.0,5760.0,141971.9837,70162.56
600802.SH,20060428,2.38,2.0311,2.0311,,309.3904,,1.1139,0.7762,0.7803,30129.4031,13429.9391,13429.9391,71707.9794,31963.2551
000416.SZ,20060428,2.57,2.6379,2.6379,,21.7913,164.4531,1.6048,1.1089,0.9967,40824.9882,22476.6564,22476.6564,104920.2197,57765.0069
000543.SZ,20060428,2.51,0.9281,0.9281,,,,0.819,0.8506,0.8523,77300.8816,18700.4353,18700.4353,194025.2128,46938.0926
600579.SH,20060428,2.6,1.4343,1.4343,,,,1.1623,0.9109,0.8666,21600.0,7200.0,7200.0,56160.0,18720.0
600584.SH,20060428,7.52,4.6237,4.6237,,40.1072,38.1551,2.9498,1.492,1.3864,29259.2,11616.0,11616.0,220029.184,87352.32
600697.SH,20060428,7.1,3.8885,3.8885,,20.4534,20.4204,1.6052,0.8217,0.7629,14221.0877,8438.5989,8438.5989,100969.7227,59914.0522
600724.SH,20060428,6.55,2.1384,2.1384,,105.1512,110.1012,3.6955,2.2089,2.1755,36436.8856,15747.5762,15747.5762,238661.6007,103146.6241
