ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,total_share,float_share,free_share,total_mv,circ_mv
300032.SZ,20111230,13.87,1.9915,2.076,,49.348,54.4668,2.4002,7.9403,7.8693,14270.0,3570.0,3424.8158,197924.9,49515.9
002092.SZ,20111230,7.49,1.3365,1.5004,,29.6836,12.8062,1.2145,2.1185,1.3275,115434.0,96096.8267,85596.8267,864600.66,719765.232
000959.SZ,20111230,2.68,0.5426,0.6001,,22.7365,36.6154,1.0271,0.2849,0.4979,296652.6057,120615.0119,109062.8729,795028.9833,323248.2319
000960.SZ,20111230,17.81,0.8705,1.759,,44.0553,25.5375,3.1795,1.7422,1.2967,90652.0391,90652.0391,44863.309,1614512.8164,1614512.8164
000961.SZ,20111230,8.42,1.4401,1.447,,13.2675,11.4187,1.9133,1.0761,0.9074,116783.9226,31579.5,31429.5083,983320.6283,265899.39
000962.SZ,20111230,14.25,1.5288,2.8209,,76.4353,26.1058,2.6815,3.8365,2.6588,44083.2644,44083.0532,23891.3732,628186.5177,628183.5081
000963.SZ,20111230,26.62,0.8869,1.223,,36.4148,30.8215,8.0203,1.2879,1.0862,43405.9991,27994.1047,20300.8319,1155467.696,745203.0671
000965.SZ,20111230,7.18,1.9806,1.9806,,15.4741,10.5729,1.4358,2.7433,1.8448,46155.8119,11550.0,11550.0,331398.7294,82929.0
000966.SZ,20111230,3.38,0.2446,0.4814,,,,2.5023,0.2574,0.2283,55414.204,55414.204,28155.8821,187300.0095,187300.0095
000967.SZ,20111230,6.62,0.6259,1.0481,,141.5189,23.8151,2.1364,0.831,0.6855,20517.912,20480.412,12229.8284,135828.5774,135580.3274
000968.SZ,20111230,14.25,0.6569,1.3295,,31.1698,40.0343,2.3312,2.0778,2.0584,51374.7,51374.7,25384.2868,732089.475,732089.475
000969.SZ,20111230,16.56,0.6068,1.0296,,64.8745,47.97,4.4287,4.0353,3.5031,85888.5048,85696.1733,50507.4813,1422313.6395,1419128.6298
000970.SZ,20111230,19.99,2.7076,3.8654,,49.0714,19.6737,5.5059,4.289,2.2287,50760.0,50760.0,35555.2138,1014692.4,1014692.4
000971.SZ,20111230,3.18,0.4558,0.5142,,42.4287,,14.1423,3.6465,3.2529,24310.0,18137.647,16076.159,77305.8,57677.7175
002105.SZ,20111230,4.4,0.3571,0.8215,,27.281,57.7288,2.2445,0.8847,0.8741,26800.0,26800.0,11649.0678,117920.0,117920.0
002629.SZ,20111230,15.88,10.0877,10.0877,,30.1562,26.2948,2.7508,4.2224,3.6161,11443.0,2291.0,2291.0,181714.84,36381.08
002630.SZ,20111230,15.77,6.7427,6.7427,,29.5711,23.342,1.7101,1.7008,1.3834,16700.0,3360.0,3360.0,263359.0,52987.2
002631.SZ,20111230,14.98,9.957,9.957,,24.5083,20.4752,2.0322,4.7052,4.3634,16000.0,3200.0,3200.0,239680.0,47936.0
002632.SZ,20111230,21.82,15.1944,15.1944,,63.539,31.4357,2.7058,7.1147,5.5287,10667.0,2135.0,2135.0,232753.94,46585.7
002633.SZ,20111230,13.1,9.9563,9.9563,,34.3288,31.8619,2.2983,6.2996,5.2682,10000.0,2000.0,2000.0,131000.0,26200.0
002634.SZ,20111230,19.06,17.3035,17.3035,,32.1796,23.6737,2.813,4.4618,3.6943,6670.0,1340.0,1340.0,127130.2,25540.4
002635.SZ,20111230,29.99,9.2701,9.2701,,64.8512,40.888,3.9208,12.8504,8.1797,12000.0,2400.0,2400.0,359880.0,71976.0
002636.SZ,20111230,8.89,5.4736,5.4736,,24.6938,25.0394,1.9657,1.3147,1.2189,28000.0,5600.0,5600.0,248920.0,49784.0
002637.SZ,20111230,31.34,10.0041,10.0041,,36.9083,23.8443,2.556,1.9329,1.3496,8000.0,1600.0,1600.0,250720.0,50144.0
002638.SZ,20111230,26.96,5.0161,5.0161,,62.2755,47.2834,2.5791,9.1449,6.8898,18733.5,3753.5,3753.5,505055.16,101194.36
002639.SZ,20111230,13.56,2.152,2.152,,27.1042,25.7564,2.0246,8.1576,7.7111,16000.0,3200.0,3200.0,216960.0,43392.0
002640.SZ,20111230,20.77,6.9616,6.9616,,31.8764,21.2127,2.3228,3.4358,2.9017,6667.0,1337.0,1337.0,138473.59,27769.49
002641.SZ,20111230,13.91,8.3494,8.3494,,17.3095,15.7999,1.8214,1.5335,1.2313,20000.0,4000.0,4000.0,278200.0,55640.0
002642.SZ,20111230,21.89,12.5869,12.5869,,42.6183,30.8382,2.7251,3.8359,3.106,10000.0,2000.0,2000.0,218900.0,43780.0
600112.SH,20111230,10.68,0.9557,1.5549,,55.8432,54.7722,4.1374,11.4561,10.2594,42433.7372,42433.7372,26079.6471,453192.3133,453192.3133
600113.SH,20111230,4.58,0.2048,0.4013,,25.0122,15.1247,2.7466,4.6367,2.239,31860.0,31860.0,16259.4,145918.8,145918.8
600114.SH,20111230,9.15,2.7598,2.8402,,37.915,29.3813,2.8369,1.9526,1.8207,19550.0,10767.8,10462.7026,178882.5,98525.37
600115.SH,20111230,3.8,0.566,0.566,,7.9643,7.0932,2.023,0.5717,0.518,1127653.886,266195.0,266195.0,4285084.7668,1011541.0
600116.SH,20111230,12.93,8.7366,13.3153,,53.7168,217.7242,3.5979,4.7095,4.3069,26753.32,24753.32,16241.52,345920.4276,320060.4276
