ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,total_share,float_share,free_share,total_mv,circ_mv
300231.SZ,20150930,16.01,8.9428,9.8105,,93.2683,76.4191,12.8399,11.0048,9.9164,33631.395,25605.72,23340.96,538438.634,409947.5772
300026.SZ,20150930,16.32,0.5567,0.9782,,33.2792,31.3653,4.2648,5.195,4.8367,91153.2181,63972.9115,36409.902,1487620.5194,1044037.9157
002767.SZ,20150930,28.78,10.3086,10.3086,,43.1975,48.2938,4.9211,9.383,9.7778,10000.0,2500.0,2500.0,287800.0,71950.0
002139.SZ,20150930,15.92,4.3705,4.8734,,59.7458,49.1999,4.3548,3.4862,3.1508,24426.2068,16210.4737,14537.5605,388865.2123,258070.7413
002060.SZ,20150930,7.51,1.3591,2.0761,,45.9599,45.4116,1.7816,0.7521,0.7312,60113.1029,60106.2439,39348.8023,451449.4028,451397.8917
002250.SZ,20150930,17.9,0.5236,0.554,,27.1273,24.4161,3.87,3.7462,3.617,83511.3322,55054.6,52031.2048,1494852.8464,985477.34
000503.SZ,20150930,24.07,2.5491,3.5234,,866.1729,,16.7949,110.9063,119.16,89882.2204,89796.6978,64967.2115,2163465.045,2161406.516
002492.SZ,20150930,9.08,2.3765,4.5921,,55.2923,72.8467,2.2176,14.0539,16.7319,27000.0,23549.3175,12187.3175,245160.0,213827.8029
000537.SZ,20150930,7.14,3.5586,4.4946,,13.0444,19.3435,1.9281,2.8529,2.7266,51271.7581,51271.3381,40594.1614,366080.3528,366077.354
300014.SZ,20150930,17.7,4.0705,6.8284,,83.9195,75.5198,6.9584,5.8474,5.2779,39938.09,31314.2573,18666.7627,706904.193,554262.3542
000667.SZ,20150930,4.41,1.3745,1.8037,,149.8689,156.9706,2.0571,5.3614,5.4671,255959.2332,255959.2332,195052.7277,1128780.2184,1128780.2184
600837.SH,20150930,12.75,0.737,0.777,,19.0188,9.7844,1.4302,8.1568,4.402,1150170.0,809213.118,767571.0612,14664667.5,10317467.2545
000948.SZ,20150930,16.03,3.4309,4.9466,,333.7308,962.0181,2.8988,2.1617,2.0214,24660.6046,23127.7771,16041.0952,395309.4917,370738.2669
603889.SH,20150930,21.27,2.828,2.828,,29.9553,25.1914,3.4159,2.2211,2.1748,16002.0,4002.0,4002.0,340362.54,85122.54
002438.SZ,20150930,18.27,5.2229,6.2741,,70.6133,91.5676,4.0234,8.1617,8.6224,20800.0,13462.0637,11206.6807,380016.0,245951.9038
600201.SH,20150930,48.52,0.7772,0.8952,,34.3708,31.8383,7.6095,13.0741,12.4537,28641.493,28252.853,24527.3569,1389685.2404,1370828.4276
002399.SZ,20150930,24.25,1.6991,7.2538,,57.3636,38.5532,2.3136,9.9062,8.62,80020.0,80020.0,18743.9972,1940485.0,1940485.0
000999.SZ,20150930,23.3,0.2799,0.7703,,22.0182,21.8024,3.2641,3.1345,3.1884,97890.0,97774.183,35524.3047,2280837.0,2278138.4639
600713.SH,20150930,7.69,1.6316,2.0653,,53.5474,37.5838,3.1023,0.3126,0.2959,89742.5598,69358.068,54792.3312,690120.2849,533363.5429
002213.SZ,20150930,11.96,0.7635,0.7913,,173.3817,209.7103,7.1267,9.4276,10.6228,20600.0,14402.9797,13895.8519,246376.0,172259.6372
000531.SZ,20150930,8.08,0.5812,1.3196,,8.5761,9.7058,1.6547,1.2596,2.0037,68508.282,68508.1244,30174.5492,553546.9186,553545.6452
002365.SZ,20150930,14.6,5.8253,6.6218,,86.0656,109.8095,2.4615,4.1466,4.0115,18700.0,14630.2594,12870.5106,273020.0,213601.7872
002206.SZ,20150930,12.15,1.0939,1.7667,,38.0507,32.5487,2.6887,2.3904,2.4874,44977.05,34288.9875,21230.1146,546471.1575,416611.1981
002363.SZ,20150930,13.38,3.2504,5.9391,,88.0696,77.0973,3.0059,3.2293,2.9787,29880.0,29866.9125,16346.0325,399794.4,399619.2893
600640.SH,20150930,20.34,5.693,16.0751,,124.1564,124.0053,4.282,4.5729,3.7713,53536.4544,53536.4544,18959.7212,1088931.4825,1088931.4825
300297.SZ,20150930,23.85,5.9365,9.1237,,327.8896,183.5282,9.9285,22.0524,17.6856,48534.2517,30752.392,20009.62,1157541.903,733444.5492
002695.SZ,20150930,24.03,1.0877,3.0261,,30.8591,38.423,2.0235,3.0932,2.8851,12665.8422,12488.8992,4488.8992,304360.1881,300108.2478
000628.SZ,20150930,10.79,4.1979,4.9006,,,,5.2388,1.721,1.8847,31148.0,18775.219,16082.989,336086.92,202584.613
