ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,total_share,float_share,free_share,total_mv,circ_mv
002063.SZ,20091030,15.33,1.0388,2.9135,,40.95,39.2416,7.0781,14.1643,12.2748,19767.6,18634.0536,6643.8631,303037.308,285660.0417
002064.SZ,20091030,13.82,2.5124,7.446,,31.1808,135.0638,3.8174,5.0236,4.873,36920.0,31299.125,10560.815,510234.4,432553.9075
002065.SZ,20091030,18.57,0.5308,1.3353,,44.5171,36.4901,6.5325,6.8258,5.6541,42598.509,33293.5175,13235.8602,791054.3121,618260.62
002066.SZ,20091030,14.07,2.605,2.605,,46.9605,46.6522,3.1334,3.8537,3.646,11550.0,3567.2547,3567.2547,162508.5,50191.2736
002067.SZ,20091030,5.94,4.9856,7.8953,,,,1.3681,1.1333,1.2656,39200.0,32903.75,20777.3757,232848.0,195448.275
002068.SZ,20091030,13.66,2.0489,4.748,,909.8706,5713.9356,4.6392,1.4791,1.6512,19224.0,19224.0,8295.5377,262599.84,262599.84
002069.SZ,20091030,26.88,1.154,3.6333,,48.5567,40.3024,4.6939,6.038,4.63,22620.0,21341.7619,6778.7219,608025.6,573666.5599
002070.SZ,20091030,7.17,2.1206,6.3468,,48.0028,33.0899,2.9748,2.4332,1.9035,22744.8,22744.8,7599.4157,163080.216,163080.216
000683.SZ,20091030,14.09,6.6371,6.6371,,66.9774,,5.6879,3.5235,4.5862,51187.5989,40420.2063,40420.2063,721233.2685,569520.7068
000685.SZ,20091030,27.66,2.3257,2.3257,,30.3066,23.0995,4.2373,25.797,22.7368,59898.7089,15726.0445,15726.0445,1656798.2882,434982.3909
000686.SZ,20091030,39.3,4.2336,4.2336,,61.2876,35.9912,9.1459,22.5116,15.4519,63931.2448,19428.4631,19428.4631,2512497.9206,763538.5998
000687.SZ,20091030,7.81,3.0899,3.1531,,,,4.106,6.649,7.067,64160.0,33325.3542,32657.8983,501089.6,260271.0163
000690.SZ,20091030,9.03,1.112,1.7815,,28.8384,22.0862,3.621,7.2397,4.0043,115107.5,112785.1536,70403.4793,1039420.725,1018449.937
000691.SZ,20091030,4.93,2.0222,2.0223,,,,5.1676,22.5644,1531.4002,32327.0,26847.82,26846.47,159372.11,132359.7526
000692.SZ,20091030,6.14,2.8381,3.0751,,,39.8821,1.6492,1.5699,1.3694,26641.6488,17285.0343,15952.9519,163579.7236,106130.1106
000695.SZ,20091030,6.68,2.5565,2.8961,,730.4577,,5.4339,3.0224,2.6256,22214.7539,15014.975,13254.2374,148394.5561,100300.033
000697.SZ,20091030,8.16,1.6383,1.8572,,,,4.2595,1.5717,2.2601,18661.2758,13258.8021,11695.8006,152276.0105,108191.8251
000698.SZ,20091030,7.7,1.7716,2.5122,,52.9173,,1.8462,0.8609,1.0893,66092.8528,62706.9647,44220.6108,508914.9666,482843.6282
